target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.5,blocks.0.attn.q_proj.weight,58120,89336,147456,0.3941514756944444
0.5,blocks.0.attn.k_proj.weight,58313,89143,147456,0.3954603407118056
0.5,blocks.0.attn.v_proj.weight,53532,93924,147456,0.363037109375
0.5,blocks.0.attn.o_proj.weight,118287,29169,147456,0.80218505859375
0.5,blocks.0.mlp.gate_proj.weight,145487,247729,393216,0.36999257405598956
0.5,blocks.0.mlp.up_proj.weight,145244,247972,393216,0.3693745930989583
0.5,blocks.0.mlp.down_proj.weight,290829,102387,393216,0.7396163940429688
0.5,blocks.1.attn.q_proj.weight,58583,88873,147456,0.3972913953993056
0.5,blocks.1.attn.k_proj.weight,58422,89034,147456,0.3961995442708333
0.5,blocks.1.attn.v_proj.weight,54763,92693,147456,0.3713853624131944
0.5,blocks.1.attn.o_proj.weight,118058,29398,147456,0.8006320529513888
0.5,blocks.1.mlp.gate_proj.weight,147536,245680,393216,0.3752034505208333
0.5,blocks.1.mlp.up_proj.weight,147448,245768,393216,0.3749796549479167
0.5,blocks.1.mlp.down_proj.weight,302472,90744,393216,0.76922607421875
0.5,blocks.2.attn.q_proj.weight,59141,88315,147456,0.4010755750868056
0.5,blocks.2.attn.k_proj.weight,58236,89220,147456,0.3949381510416667
0.5,blocks.2.attn.v_proj.weight,55036,92420,147456,0.3732367621527778
0.5,blocks.2.attn.o_proj.weight,115435,32021,147456,0.7828436957465278
0.5,blocks.2.mlp.gate_proj.weight,147619,245597,393216,0.37541453043619794
0.5,blocks.2.mlp.up_proj.weight,147329,245887,393216,0.37467702229817706
0.5,blocks.2.mlp.down_proj.weight,305241,87975,393216,0.7762680053710938
0.5,blocks.3.attn.q_proj.weight,58769,88687,147456,0.3985527886284722
0.5,blocks.3.attn.k_proj.weight,58091,89365,147456,0.3939548068576389
0.5,blocks.3.attn.v_proj.weight,54854,92602,147456,0.3720024956597222
0.5,blocks.3.attn.o_proj.weight,116366,31090,147456,0.7891574435763888
0.5,blocks.3.mlp.gate_proj.weight,147761,245455,393216,0.37577565511067706
0.5,blocks.3.mlp.up_proj.weight,147474,245742,393216,0.3750457763671875
0.5,blocks.3.mlp.down_proj.weight,304815,88401,393216,0.7751846313476562
0.5,blocks.4.attn.q_proj.weight,58481,88975,147456,0.3965996636284722
0.5,blocks.4.attn.k_proj.weight,57611,89845,147456,0.3906995985243056
0.5,blocks.4.attn.v_proj.weight,54763,92693,147456,0.3713853624131944
0.5,blocks.4.attn.o_proj.weight,115604,31852,147456,0.7839898003472222
0.5,blocks.4.mlp.gate_proj.weight,147875,245341,393216,0.37606557210286456
0.5,blocks.4.mlp.up_proj.weight,147446,245770,393216,0.3749745686848958
0.5,blocks.4.mlp.down_proj.weight,303247,89969,393216,0.7711970011393229
0.5,blocks.5.attn.q_proj.weight,58070,89386,147456,0.3938123914930556
0.5,blocks.5.attn.k_proj.weight,57297,90159,147456,0.3885701497395833
0.5,blocks.5.attn.v_proj.weight,54234,93222,147456,0.3677978515625
0.5,blocks.5.attn.o_proj.weight,119574,27882,147456,0.8109130859375
0.5,blocks.5.mlp.gate_proj.weight,147530,245686,393216,0.3751881917317708
0.5,blocks.5.mlp.up_proj.weight,146985,246231,393216,0.37380218505859375
0.5,blocks.5.mlp.down_proj.weight,306438,86778,393216,0.7793121337890625
0.7,blocks.0.attn.q_proj.weight,86936,60520,147456,0.5895724826388888
0.7,blocks.0.attn.k_proj.weight,87846,59610,147456,0.5957438151041666
0.7,blocks.0.attn.v_proj.weight,89930,57526,147456,0.6098768446180556
0.7,blocks.0.attn.o_proj.weight,141288,6168,147456,0.9581705729166666
0.7,blocks.0.mlp.gate_proj.weight,227398,165818,393216,0.5783030192057291
0.7,blocks.0.mlp.up_proj.weight,227496,165720,393216,0.57855224609375
0.7,blocks.0.mlp.down_proj.weight,358357,34859,393216,0.9113489786783854
0.7,blocks.1.attn.q_proj.weight,87116,60340,147456,0.5907931857638888
0.7,blocks.1.attn.k_proj.weight,87486,59970,147456,0.5933024088541666
0.7,blocks.1.attn.v_proj.weight,90039,57417,147456,0.6106160481770834
0.7,blocks.1.attn.o_proj.weight,140571,6885,147456,0.95330810546875
0.7,blocks.1.mlp.gate_proj.weight,234052,159164,393216,0.5952250162760416
0.7,blocks.1.mlp.up_proj.weight,235091,158125,393216,0.5978673299153646
0.7,blocks.1.mlp.down_proj.weight,366892,26324,393216,0.9330546061197916
0.7,blocks.2.attn.q_proj.weight,87494,59962,147456,0.5933566623263888
0.7,blocks.2.attn.k_proj.weight,87379,60077,147456,0.5925767686631944
0.7,blocks.2.attn.v_proj.weight,89262,58194,147456,0.6053466796875
0.7,blocks.2.attn.o_proj.weight,138724,8732,147456,0.9407823350694444
0.7,blocks.2.mlp.gate_proj.weight,234943,158273,393216,0.5974909464518229
