target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.5,blocks.0.attn.q_proj.weight,58088,89368,147456,0.3939344618055556
0.5,blocks.0.attn.k_proj.weight,57165,90291,147456,0.3876749674479167
0.5,blocks.0.attn.v_proj.weight,52962,94494,147456,0.3591715494791667
0.5,blocks.0.attn.o_proj.weight,121793,25663,147456,0.8259616427951388
0.5,blocks.0.mlp.gate_proj.weight,155246,237970,393216,0.3948109944661458
0.5,blocks.0.mlp.up_proj.weight,154417,238799,393216,0.39270273844401044
0.5,blocks.0.mlp.down_proj.weight,280298,112918,393216,0.7128346761067709
0.5,blocks.1.attn.q_proj.weight,57514,89942,147456,0.3900417751736111
0.5,blocks.1.attn.k_proj.weight,57467,89989,147456,0.3897230360243056
0.5,blocks.1.attn.v_proj.weight,55785,91671,147456,0.3783162434895833
0.5,blocks.1.attn.o_proj.weight,113686,33770,147456,0.7709825303819444
0.5,blocks.1.mlp.gate_proj.weight,152758,240458,393216,0.3884836832682292
0.5,blocks.1.mlp.up_proj.weight,152215,241001,393216,0.38710276285807294
0.5,blocks.1.mlp.down_proj.weight,291502,101714,393216,0.7413279215494791
0.5,blocks.2.attn.q_proj.weight,59134,88322,147456,0.4010281032986111
0.5,blocks.2.attn.k_proj.weight,58799,88657,147456,0.3987562391493056
0.5,blocks.2.attn.v_proj.weight,56828,90628,147456,0.3853895399305556
0.5,blocks.2.attn.o_proj.weight,113108,34348,147456,0.7670627170138888
0.5,blocks.2.mlp.gate_proj.weight,151348,241868,393216,0.3848978678385417
0.5,blocks.2.mlp.up_proj.weight,151557,241659,393216,0.38542938232421875
0.5,blocks.2.mlp.down_proj.weight,293205,100011,393216,0.7456588745117188
0.5,blocks.3.attn.q_proj.weight,58418,89038,147456,0.3961724175347222
0.5,blocks.3.attn.k_proj.weight,57945,89511,147456,0.3929646809895833
0.5,blocks.3.attn.v_proj.weight,57450,90006,147456,0.3896077473958333
0.5,blocks.3.attn.o_proj.weight,113413,34043,147456,0.7691311306423612
0.5,blocks.3.mlp.gate_proj.weight,151889,241327,393216,0.38627370198567706
0.5,blocks.3.mlp.up_proj.weight,151325,241891,393216,0.38483937581380206
0.5,blocks.3.mlp.down_proj.weight,296108,97108,393216,0.7530415852864584
0.5,blocks.4.attn.q_proj.weight,58648,88808,147456,0.3977322048611111
0.5,blocks.4.attn.k_proj.weight,57524,89932,147456,0.3901095920138889
0.5,blocks.4.attn.v_proj.weight,56909,90547,147456,0.3859388563368056
0.5,blocks.4.attn.o_proj.weight,114566,32890,147456,0.7769504123263888
0.5,blocks.4.mlp.gate_proj.weight,151972,241244,393216,0.3864847819010417
0.5,blocks.4.mlp.up_proj.weight,150573,242643,393216,0.38292694091796875
0.5,blocks.4.mlp.down_proj.weight,296900,96316,393216,0.7550557454427084
0.5,blocks.5.attn.q_proj.weight,58411,89045,147456,0.3961249457465278
0.5,blocks.5.attn.k_proj.weight,57893,89563,147456,0.3926120334201389
0.5,blocks.5.attn.v_proj.weight,57317,90139,147456,0.3887057834201389
0.5,blocks.5.attn.o_proj.weight,113719,33737,147456,0.7712063259548612
0.5,blocks.5.mlp.gate_proj.weight,151874,241342,393216,0.3862355550130208
0.5,blocks.5.mlp.up_proj.weight,151441,241775,393216,0.38513437906901044
0.5,blocks.5.mlp.down_proj.weight,299246,93970,393216,0.7610219319661459
0.7,blocks.0.attn.q_proj.weight,87980,59476,147456,0.5966525607638888
0.7,blocks.0.attn.k_proj.weight,88557,58899,147456,0.6005655924479166
0.7,blocks.0.attn.v_proj.weight,92531,54925,147456,0.6275160047743056
0.7,blocks.0.attn.o_proj.weight,143810,3646,147456,0.9752739800347222
0.7,blocks.0.mlp.gate_proj.weight,231861,161355,393216,0.5896530151367188
0.7,blocks.0.mlp.up_proj.weight,231869,161347,393216,0.5896733601888021
0.7,blocks.0.mlp.down_proj.weight,345011,48205,393216,0.8774083455403646
0.7,blocks.1.attn.q_proj.weight,88909,58547,147456,0.6029527452256944
0.7,blocks.1.attn.k_proj.weight,89504,57952,147456,0.6069878472222222
0.7,blocks.1.attn.v_proj.weight,90972,56484,147456,0.616943359375
0.7,blocks.1.attn.o_proj.weight,137766,9690,147456,0.9342854817708334
0.7,blocks.1.mlp.gate_proj.weight,237822,155394,393216,0.6048126220703125
0.7,blocks.1.mlp.up_proj.weight,238472,154744,393216,0.6064656575520834
0.7,blocks.1.mlp.down_proj.weight,357797,35419,393216,0.9099248250325521
0.7,blocks.2.attn.q_proj.weight,88330,59126,147456,0.5990261501736112
0.7,blocks.2.attn.k_proj.weight,88520,58936,147456,0.6003146701388888
0.7,blocks.2.attn.v_proj.weight,90296,57160,147456,0.6123589409722222
0.7,blocks.2.attn.o_proj.weight,137087,10369,147456,0.9296807183159722
0.7,blocks.2.mlp.gate_proj.weight,237704,155512,393216,0.6045125325520834
