order,phase,run_id,run_name,status,selected_next,selection_reason,seed,learning_rate,rewa_k,rewa_m,rewa_eps,rewa_weight_decay,theory_status,train_tokens,expected_iters,completed_iters,best_val_loss,best_val_ppl,skipped_optimizer_steps,pruning_eval_iters,pruning_sparsities,checkpoint,metrics_jsonl,pruning_json,pruning_csv,layer_csv,run_config,train_log,git_commit,error,updated_at_utc
0,screen,screen/k3-m0-eps0-wd1e-4-lr0.006-seed0,k3-m0-eps0-wd1e-4-lr0.006-seed0,completed,yes,top-3 3M validation loss,0,0.006,3.0,0.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,3.73065241575,41.706309143,0,20,0.0 0.5 0.7 0.8,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.006-seed0\best.pt,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.006-seed0\metrics.jsonl,artifacts\stage1-rewa-high-lr\runs\screen\k3-m0-eps0-wd1e-4-lr0.006-seed0\global-pruning.json,artifacts\stage1-rewa-high-lr\runs\screen\k3-m0-eps0-wd1e-4-lr0.006-seed0\global-pruning.csv,artifacts\stage1-rewa-high-lr\runs\screen\k3-m0-eps0-wd1e-4-lr0.006-seed0\layer-sparsity.csv,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.006-seed0\run_config.json,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.006-seed0\train.log,1e05e5e45d9f325e7a9376174eeb515c52723591,,2026-09-23T09:25:05+00:00
0,screen,screen/k3-m0-eps0-wd1e-4-lr0.036-seed0,k3-m0-eps0-wd1e-4-lr0.036-seed0,failed,no,,0,0.036,3.0,0.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,30,,,0,20,0.0 0.5 0.7 0.8,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.036-seed0\best.pt,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.036-seed0\metrics.jsonl,artifacts\stage1-rewa-high-lr\runs\screen\k3-m0-eps0-wd1e-4-lr0.036-seed0\global-pruning.json,artifacts\stage1-rewa-high-lr\runs\screen\k3-m0-eps0-wd1e-4-lr0.036-seed0\global-pruning.csv,artifacts\stage1-rewa-high-lr\runs\screen\k3-m0-eps0-wd1e-4-lr0.036-seed0\layer-sparsity.csv,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.036-seed0\run_config.json,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.036-seed0\train.log,b3c5f9aa730c4131811a78e8bb22c33c94dbb25a,RuntimeError: training exited with status 1,2026-09-23T06:00:29+00:00
1,screen,screen/k3-m0-eps0-wd1e-4-lr0.012-seed0,k3-m0-eps0-wd1e-4-lr0.012-seed0,completed,no,,0,0.012,3.0,0.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,4.19598754644,66.4192913353,0,20,0.0 0.5 0.7 0.8,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.012-seed0\best.pt,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.012-seed0\metrics.jsonl,artifacts\stage1-rewa-high-lr\runs\screen\k3-m0-eps0-wd1e-4-lr0.012-seed0\global-pruning.json,artifacts\stage1-rewa-high-lr\runs\screen\k3-m0-eps0-wd1e-4-lr0.012-seed0\global-pruning.csv,artifacts\stage1-rewa-high-lr\runs\screen\k3-m0-eps0-wd1e-4-lr0.012-seed0\layer-sparsity.csv,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.012-seed0\run_config.json,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.012-seed0\train.log,1e05e5e45d9f325e7a9376174eeb515c52723591,,2026-09-23T09:25:05+00:00
2,screen,screen/k3-m0-eps0-wd1e-4-lr0.024-seed0,k3-m0-eps0-wd1e-4-lr0.024-seed0,completed,no,,0,0.024,3.0,0.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,4.92099833488,137.139455971,0,20,0.0 0.5 0.7 0.8,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.024-seed0\best.pt,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.024-seed0\metrics.jsonl,artifacts\stage1-rewa-high-lr\runs\screen\k3-m0-eps0-wd1e-4-lr0.024-seed0\global-pruning.json,artifacts\stage1-rewa-high-lr\runs\screen\k3-m0-eps0-wd1e-4-lr0.024-seed0\global-pruning.csv,artifacts\stage1-rewa-high-lr\runs\screen\k3-m0-eps0-wd1e-4-lr0.024-seed0\layer-sparsity.csv,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.024-seed0\run_config.json,outputs\stage1-rewa-high-lr\screen\k3-m0-eps0-wd1e-4-lr0.024-seed0\train.log,1e05e5e45d9f325e7a9376174eeb515c52723591,,2026-09-23T09:25:05+00:00
3,screen,screen/k3-m1-eps0-wd1e-4-lr0.036-seed0,k3-m1-eps0-wd1e-4-lr0.036-seed0,failed,no,,0,0.036,3.0,1.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,40,,,0,20,0.0 0.5 0.7 0.8,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.036-seed0\best.pt,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.036-seed0\metrics.jsonl,artifacts\stage1-rewa-high-lr\runs\screen\k3-m1-eps0-wd1e-4-lr0.036-seed0\global-pruning.json,artifacts\stage1-rewa-high-lr\runs\screen\k3-m1-eps0-wd1e-4-lr0.036-seed0\global-pruning.csv,artifacts\stage1-rewa-high-lr\runs\screen\k3-m1-eps0-wd1e-4-lr0.036-seed0\layer-sparsity.csv,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.036-seed0\run_config.json,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.036-seed0\train.log,b3c5f9aa730c4131811a78e8bb22c33c94dbb25a,RuntimeError: training exited with status 1,2026-09-23T06:43:19+00:00
4,screen,screen/k3-m1-eps0-wd1e-4-lr0.006-seed0,k3-m1-eps0-wd1e-4-lr0.006-seed0,completed,yes,top-3 3M validation loss,0,0.006,3.0,1.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,3.73694428205,41.9695469241,0,20,0.0 0.5 0.7 0.8,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.006-seed0\best.pt,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.006-seed0\metrics.jsonl,artifacts\stage1-rewa-high-lr\runs\screen\k3-m1-eps0-wd1e-4-lr0.006-seed0\global-pruning.json,artifacts\stage1-rewa-high-lr\runs\screen\k3-m1-eps0-wd1e-4-lr0.006-seed0\global-pruning.csv,artifacts\stage1-rewa-high-lr\runs\screen\k3-m1-eps0-wd1e-4-lr0.006-seed0\layer-sparsity.csv,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.006-seed0\run_config.json,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.006-seed0\train.log,1e05e5e45d9f325e7a9376174eeb515c52723591,,2026-09-23T09:25:05+00:00
5,screen,screen/k3-m1-eps0-wd1e-4-lr0.012-seed0,k3-m1-eps0-wd1e-4-lr0.012-seed0,completed,no,,0,0.012,3.0,1.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,4.32495815754,75.5623510789,0,20,0.0 0.5 0.7 0.8,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.012-seed0\best.pt,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.012-seed0\metrics.jsonl,artifacts\stage1-rewa-high-lr\runs\screen\k3-m1-eps0-wd1e-4-lr0.012-seed0\global-pruning.json,artifacts\stage1-rewa-high-lr\runs\screen\k3-m1-eps0-wd1e-4-lr0.012-seed0\global-pruning.csv,artifacts\stage1-rewa-high-lr\runs\screen\k3-m1-eps0-wd1e-4-lr0.012-seed0\layer-sparsity.csv,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.012-seed0\run_config.json,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.012-seed0\train.log,1e05e5e45d9f325e7a9376174eeb515c52723591,,2026-09-23T09:25:05+00:00
6,screen,screen/k3-m1-eps0-wd1e-4-lr0.024-seed0,k3-m1-eps0-wd1e-4-lr0.024-seed0,completed,no,,0,0.024,3.0,1.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,4.87795341015,131.361545387,0,20,0.0 0.5 0.7 0.8,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.024-seed0\best.pt,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.024-seed0\metrics.jsonl,artifacts\stage1-rewa-high-lr\runs\screen\k3-m1-eps0-wd1e-4-lr0.024-seed0\global-pruning.json,artifacts\stage1-rewa-high-lr\runs\screen\k3-m1-eps0-wd1e-4-lr0.024-seed0\global-pruning.csv,artifacts\stage1-rewa-high-lr\runs\screen\k3-m1-eps0-wd1e-4-lr0.024-seed0\layer-sparsity.csv,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.024-seed0\run_config.json,outputs\stage1-rewa-high-lr\screen\k3-m1-eps0-wd1e-4-lr0.024-seed0\train.log,1e05e5e45d9f325e7a9376174eeb515c52723591,,2026-09-23T09:25:05+00:00
6,screen,screen/k9-m2-eps0-wd1e-4-lr0.024-seed0,k9-m2-eps0-wd1e-4-lr0.024-seed0,failed,no,,0,0.024,9.0,2.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,20,,,0,20,0.0 0.5 0.7 0.8,outputs\stage1-rewa-high-lr\screen\k9-m2-eps0-wd1e-4-lr0.024-seed0\best.pt,outputs\stage1-rewa-high-lr\screen\k9-m2-eps0-wd1e-4-lr0.024-seed0\metrics.jsonl,artifacts\stage1-rewa-high-lr\runs\screen\k9-m2-eps0-wd1e-4-lr0.024-seed0\global-pruning.json,artifacts\stage1-rewa-high-lr\runs\screen\k9-m2-eps0-wd1e-4-lr0.024-seed0\global-pruning.csv,artifacts\stage1-rewa-high-lr\runs\screen\k9-m2-eps0-wd1e-4-lr0.024-seed0\layer-sparsity.csv,outputs\stage1-rewa-high-lr\screen\k9-m2-eps0-wd1e-4-lr0.024-seed0\run_config.json,outputs\stage1-rewa-high-lr\screen\k9-m2-eps0-wd1e-4-lr0.024-seed0\train.log,b3c5f9aa730c4131811a78e8bb22c33c94dbb25a,RuntimeError: training exited with status 1,2026-09-23T07:11:39+00:00
7,screen,screen/k9-m2-eps0-wd1e-4-lr0.036-seed0,k9-m2-eps0-wd1e-4-lr0.036-seed0,failed,no,,0,0.036,9.0,2.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,10,,,0,20,0.0 0.5 0.7 0.8,outputs\stage1-rewa-high-lr\screen\k9-m2-eps0-wd1e-4-lr0.036-seed0\best.pt,outputs\stage1-rewa-high-lr\screen\k9-m2-eps0-wd1e-4-lr0.036-seed0\metrics.jsonl,artifacts\stage1-rewa-high-lr\runs\screen\k9-m2-eps0-wd1e-4-lr0.036-seed0\global-pruning.json,artifacts\stage1-rewa-high-lr\runs\screen\k9-m2-eps0-wd1e-4-lr0.036-seed0\global-pruning.csv,artifacts\stage1-rewa-high-lr\runs\screen\k9-m2-eps0-wd1e-4-lr0.036-seed0\layer-sparsity.csv,outputs\stage1-rewa-high-lr\screen\k9-m2-eps0-wd1e-4-lr0.036-seed0\run_config.json,outputs\stage1-rewa-high-lr\screen\k9-m2-eps0-wd1e-4-lr0.036-seed0\train.log,b3c5f9aa730c4131811a78e8bb22c33c94dbb25a,RuntimeError: training exited with status 1,2026-09-23T07:14:05+00:00
