run_id,run_name,seed,learning_rate,rewa_k,rewa_m,rewa_eps,rewa_weight_decay,target_sparsity,validation_loss,perplexity,eligible_sparsity,whole_model_sparsity,attention_sparsity,mlp_sparsity
final/k3-m0-eps1e-6-wd1e-4-lr0.003-seed0,k3-m0-eps1e-6-wd1e-4-lr0.003-seed0,0,0.003,3.0,0.0,1e-06,0.0001,0.0,2.1353343784809113,8.45987483406504,0.0,0.0,0.0,0.0
final/k3-m0-eps1e-6-wd1e-4-lr0.003-seed0,k3-m0-eps1e-6-wd1e-4-lr0.003-seed0,0,0.003,3.0,0.0,1e-06,0.0001,0.3,2.15603089094162,8.636789178960676,0.3000000376760224,0.23134468640467093,0.29530899612991895,0.30234555844907407
final/k3-m0-eps1e-6-wd1e-4-lr0.003-seed0,k3-m0-eps1e-6-wd1e-4-lr0.003-seed0,0,0.003,3.0,0.0,1e-06,0.0001,0.5,2.3485427069664,10.470300305725683,0.5,0.3855744289180822,0.4900241427951389,0.5049879286024306
final/k3-m0-eps1e-6-wd1e-4-lr0.003-seed0,k3-m0-eps1e-6-wd1e-4-lr0.003-seed0,0,0.003,3.0,0.0,1e-06,0.0001,0.7,5.61812228679657,275.37182815926224,0.6999999623239777,0.5398041714314934,0.6849390665690104,0.7075304102014612
final/k3-m0-eps1e-6-wd1e-4-lr0.003-seed0,k3-m0-eps1e-6-wd1e-4-lr0.003-seed0,0,0.003,3.0,0.0,1e-06,0.0001,0.8,14.878042907714844,2893689.552792906,0.8000000376760223,0.6169191153227531,0.7841734709563078,0.8079133210358797
final/k3-m0-eps1e-6-wd1e-4-lr0.003-seed0,k3-m0-eps1e-6-wd1e-4-lr0.003-seed0,0,0.003,3.0,0.0,1e-06,0.0001,0.9,24.638359127044676,50153750141.07753,0.9000000188380112,0.6940339865794587,0.8859846327039931,0.9070077119050203
final/k3-m0-eps1e-6-wd1e-4-lr0.003-seed0,k3-m0-eps1e-6-wd1e-4-lr0.003-seed0,0,0.003,3.0,0.0,1e-06,0.0001,0.95,26.686056785583496,388693435215.1984,0.9499999623239777,0.7325913858905345,0.9383776629412616,0.9558111120153356
final/k3-m1-eps1e-6-wd0.1-lr0.003-seed0,k3-m1-eps1e-6-wd0.1-lr0.003-seed0,0,0.003,3.0,1.0,1e-06,0.1,0.0,2.1383388793468474,8.485330757352209,0.0,0.0,0.0,0.0
final/k3-m1-eps1e-6-wd0.1-lr0.003-seed0,k3-m1-eps1e-6-wd0.1-lr0.003-seed0,0,0.003,3.0,1.0,1e-06,0.1,0.3,2.1528755867481233,8.609580430359298,0.3000000376760224,0.23134468640467093,0.2979323775679977,0.3010338677300347
final/k3-m1-eps1e-6-wd0.1-lr0.003-seed0,k3-m1-eps1e-6-wd0.1-lr0.003-seed0,0,0.003,3.0,1.0,1e-06,0.1,0.5,2.2995220375061036,9.969416308804291,0.5,0.3855744289180822,0.49179472746672453,0.5041026362666378
final/k3-m1-eps1e-6-wd0.1-lr0.003-seed0,k3-m1-eps1e-6-wd0.1-lr0.003-seed0,0,0.003,3.0,1.0,1e-06,0.1,0.7,7.8989163637161255,2694.361038363477,0.6999999623239777,0.5398041714314934,0.6847429628725406,0.7076284620496962
final/k3-m1-eps1e-6-wd0.1-lr0.003-seed0,k3-m1-eps1e-6-wd0.1-lr0.003-seed0,0,0.003,3.0,1.0,1e-06,0.1,0.8,17.91006591796875,60012649.20010741,0.8000000376760223,0.6169191153227531,0.7828250461154513,0.8085875334563078
final/k3-m1-eps1e-6-wd0.1-lr0.003-seed0,k3-m1-eps1e-6-wd0.1-lr0.003-seed0,0,0.003,3.0,1.0,1e-06,0.1,0.9,25.176040630340577,85864871027.28973,0.9000000188380112,0.6940339865794587,0.8832292909975406,0.9083853827582465
final/k3-m1-eps1e-6-wd0.1-lr0.003-seed0,k3-m1-eps1e-6-wd0.1-lr0.003-seed0,0,0.003,3.0,1.0,1e-06,0.1,0.95,26.27824760437012,258522250950.93994,0.9499999623239777,0.7325913858905345,0.9353247748480903,0.9573375560619213
