target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.5,blocks.0.attn.q_proj.weight,55287,92169,147456,0.37493896484375
0.5,blocks.0.attn.k_proj.weight,55261,92195,147456,0.3747626410590278
0.5,blocks.0.attn.v_proj.weight,51957,95499,147456,0.35235595703125
0.5,blocks.0.attn.o_proj.weight,125368,22088,147456,0.8502061631944444
0.5,blocks.0.mlp.gate_proj.weight,139500,253716,393216,0.354766845703125
0.5,blocks.0.mlp.up_proj.weight,139185,254031,393216,0.35396575927734375
0.5,blocks.0.mlp.down_proj.weight,313435,79781,393216,0.7971064249674479
0.5,blocks.1.attn.q_proj.weight,54955,92501,147456,0.3726874457465278
0.5,blocks.1.attn.k_proj.weight,55052,92404,147456,0.3733452690972222
0.5,blocks.1.attn.v_proj.weight,52045,95411,147456,0.3529527452256944
0.5,blocks.1.attn.o_proj.weight,126163,21293,147456,0.8555976019965278
0.5,blocks.1.mlp.gate_proj.weight,139785,253431,393216,0.35549163818359375
0.5,blocks.1.mlp.up_proj.weight,140332,252884,393216,0.3568827311197917
0.5,blocks.1.mlp.down_proj.weight,318777,74439,393216,0.8106918334960938
0.5,blocks.2.attn.q_proj.weight,55663,91793,147456,0.3774888780381944
0.5,blocks.2.attn.k_proj.weight,55075,92381,147456,0.3735012478298611
0.5,blocks.2.attn.v_proj.weight,52170,95286,147456,0.3538004557291667
0.5,blocks.2.attn.o_proj.weight,124008,23448,147456,0.8409830729166666
0.5,blocks.2.mlp.gate_proj.weight,139671,253545,393216,0.35520172119140625
0.5,blocks.2.mlp.up_proj.weight,139791,253425,393216,0.35550689697265625
0.5,blocks.2.mlp.down_proj.weight,320391,72825,393216,0.8147964477539062
0.5,blocks.3.attn.q_proj.weight,55529,91927,147456,0.3765801323784722
0.5,blocks.3.attn.k_proj.weight,54891,92565,147456,0.37225341796875
0.5,blocks.3.attn.v_proj.weight,52303,95153,147456,0.3547024197048611
0.5,blocks.3.attn.o_proj.weight,123454,24002,147456,0.8372260199652778
0.5,blocks.3.mlp.gate_proj.weight,139837,253379,393216,0.35562388102213544
0.5,blocks.3.mlp.up_proj.weight,139816,253400,393216,0.3555704752604167
0.5,blocks.3.mlp.down_proj.weight,320288,72928,393216,0.8145345052083334
0.5,blocks.4.attn.q_proj.weight,55579,91877,147456,0.3769192165798611
0.5,blocks.4.attn.k_proj.weight,55172,92284,147456,0.3741590711805556
0.5,blocks.4.attn.v_proj.weight,52262,95194,147456,0.3544243706597222
0.5,blocks.4.attn.o_proj.weight,121972,25484,147456,0.8271755642361112
0.5,blocks.4.mlp.gate_proj.weight,139965,253251,393216,0.35594940185546875
0.5,blocks.4.mlp.up_proj.weight,139522,253694,393216,0.3548227945963542
0.5,blocks.4.mlp.down_proj.weight,318944,74272,393216,0.8111165364583334
0.5,blocks.5.attn.q_proj.weight,54929,92527,147456,0.3725111219618056
0.5,blocks.5.attn.k_proj.weight,54696,92760,147456,0.3709309895833333
0.5,blocks.5.attn.v_proj.weight,51839,95617,147456,0.3515557183159722
0.5,blocks.5.attn.o_proj.weight,124085,23371,147456,0.8415052625868056
0.5,blocks.5.mlp.gate_proj.weight,139699,253517,393216,0.35527292887369794
0.5,blocks.5.mlp.up_proj.weight,139480,253736,393216,0.3547159830729167
0.5,blocks.5.mlp.down_proj.weight,320283,72933,393216,0.8145217895507812
0.7,blocks.0.attn.q_proj.weight,85249,62207,147456,0.5781317816840278
0.7,blocks.0.attn.k_proj.weight,86074,61382,147456,0.5837266710069444
0.7,blocks.0.attn.v_proj.weight,87481,59975,147456,0.5932685004340278
0.7,blocks.0.attn.o_proj.weight,144922,2534,147456,0.9828152126736112
0.7,blocks.0.mlp.gate_proj.weight,226520,166696,393216,0.5760701497395834
0.7,blocks.0.mlp.up_proj.weight,226487,166729,393216,0.5759862263997396
0.7,blocks.0.mlp.down_proj.weight,375967,17249,393216,0.9561335245768229
0.7,blocks.1.attn.q_proj.weight,85299,62157,147456,0.5784708658854166
0.7,blocks.1.attn.k_proj.weight,85589,61867,147456,0.5804375542534722
0.7,blocks.1.attn.v_proj.weight,88068,59388,147456,0.5972493489583334
0.7,blocks.1.attn.o_proj.weight,145143,2313,147456,0.98431396484375
0.7,blocks.1.mlp.gate_proj.weight,228547,164669,393216,0.5812250773111979
0.7,blocks.1.mlp.up_proj.weight,229206,164010,393216,0.5829010009765625
0.7,blocks.1.mlp.down_proj.weight,379001,14215,393216,0.9638493855794271
0.7,blocks.2.attn.q_proj.weight,85381,62075,147456,0.5790269639756944
0.7,blocks.2.attn.k_proj.weight,85461,61995,147456,0.5795694986979166
0.7,blocks.2.attn.v_proj.weight,87509,59947,147456,0.5934583875868056
0.7,blocks.2.attn.o_proj.weight,144265,3191,147456,0.9783596462673612
0.7,blocks.2.mlp.gate_proj.weight,229235,163981,393216,0.5829747517903646
