target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.3,blocks.0.attn.q_proj.weight,33487,113969,147456,0.22709825303819445
0.3,blocks.0.attn.k_proj.weight,32202,115254,147456,0.2183837890625
0.3,blocks.0.attn.v_proj.weight,25741,121715,147456,0.1745673285590278
0.3,blocks.0.attn.o_proj.weight,81051,66405,147456,0.5496622721354166
0.3,blocks.0.mlp.gate_proj.weight,74898,318318,393216,0.1904754638671875
0.3,blocks.0.mlp.up_proj.weight,74584,318632,393216,0.18967692057291666
0.3,blocks.0.mlp.down_proj.weight,200582,192634,393216,0.5101064046223959
0.3,blocks.1.attn.q_proj.weight,35353,112103,147456,0.2397528754340278
0.3,blocks.1.attn.k_proj.weight,34413,113043,147456,0.23337809244791666
0.3,blocks.1.attn.v_proj.weight,26858,120598,147456,0.18214246961805555
0.3,blocks.1.attn.o_proj.weight,79959,67497,147456,0.5422566731770834
0.3,blocks.1.mlp.gate_proj.weight,76293,316923,393216,0.19402313232421875
0.3,blocks.1.mlp.up_proj.weight,75898,317318,393216,0.19301859537760416
0.3,blocks.1.mlp.down_proj.weight,202739,190477,393216,0.5155919392903646
0.3,blocks.2.attn.q_proj.weight,35159,112297,147456,0.2384372287326389
0.3,blocks.2.attn.k_proj.weight,33802,113654,147456,0.22923448350694445
0.3,blocks.2.attn.v_proj.weight,27151,120305,147456,0.18412950303819445
0.3,blocks.2.attn.o_proj.weight,78851,68605,147456,0.5347425672743056
0.3,blocks.2.mlp.gate_proj.weight,76352,316864,393216,0.19417317708333334
0.3,blocks.2.mlp.up_proj.weight,76191,317025,393216,0.19376373291015625
0.3,blocks.2.mlp.down_proj.weight,204263,188953,393216,0.5194676717122396
0.3,blocks.3.attn.q_proj.weight,35635,111821,147456,0.2416653103298611
0.3,blocks.3.attn.k_proj.weight,33983,113473,147456,0.2304619683159722
0.3,blocks.3.attn.v_proj.weight,27313,120143,147456,0.18522813585069445
0.3,blocks.3.attn.o_proj.weight,77719,69737,147456,0.5270657009548612
0.3,blocks.3.mlp.gate_proj.weight,77094,316122,393216,0.1960601806640625
0.3,blocks.3.mlp.up_proj.weight,76602,316614,393216,0.1948089599609375
0.3,blocks.3.mlp.down_proj.weight,204040,189176,393216,0.5189005533854166
0.3,blocks.4.attn.q_proj.weight,34889,112567,147456,0.2366061740451389
0.3,blocks.4.attn.k_proj.weight,33640,113816,147456,0.22813585069444445
0.3,blocks.4.attn.v_proj.weight,27098,120358,147456,0.1837700737847222
0.3,blocks.4.attn.o_proj.weight,78041,69415,147456,0.5292494032118056
0.3,blocks.4.mlp.gate_proj.weight,77744,315472,393216,0.19771321614583334
0.3,blocks.4.mlp.up_proj.weight,77443,315773,393216,0.1969477335611979
0.3,blocks.4.mlp.down_proj.weight,204134,189082,393216,0.5191396077473959
0.3,blocks.5.attn.q_proj.weight,34651,112805,147456,0.2349921332465278
0.3,blocks.5.attn.k_proj.weight,33509,113947,147456,0.22724745008680555
0.3,blocks.5.attn.v_proj.weight,26492,120964,147456,0.1796603732638889
0.3,blocks.5.attn.o_proj.weight,78085,69371,147456,0.5295477973090278
0.3,blocks.5.mlp.gate_proj.weight,78713,314503,393216,0.2001775105794271
0.3,blocks.5.mlp.up_proj.weight,78223,314993,393216,0.1989313761393229
0.3,blocks.5.mlp.down_proj.weight,204175,189041,393216,0.5192438761393229
0.5,blocks.0.attn.q_proj.weight,57317,90139,147456,0.3887057834201389
0.5,blocks.0.attn.k_proj.weight,56865,90591,147456,0.3856404622395833
0.5,blocks.0.attn.v_proj.weight,52886,94570,147456,0.3586561414930556
0.5,blocks.0.attn.o_proj.weight,124280,23176,147456,0.8428276909722222
0.5,blocks.0.mlp.gate_proj.weight,142611,250605,393216,0.36267852783203125
0.5,blocks.0.mlp.up_proj.weight,142261,250955,393216,0.36178843180338544
0.5,blocks.0.mlp.down_proj.weight,308264,84952,393216,0.7839558919270834
0.5,blocks.1.attn.q_proj.weight,58406,89050,147456,0.3960910373263889
0.5,blocks.1.attn.k_proj.weight,57725,89731,147456,0.3914727105034722
0.5,blocks.1.attn.v_proj.weight,53451,94005,147456,0.36248779296875
0.5,blocks.1.attn.o_proj.weight,122127,25329,147456,0.8282267252604166
0.5,blocks.1.mlp.gate_proj.weight,143756,249460,393216,0.3655904134114583
0.5,blocks.1.mlp.up_proj.weight,143902,249314,393216,0.3659617106119792
0.5,blocks.1.mlp.down_proj.weight,309108,84108,393216,0.786102294921875
0.5,blocks.2.attn.q_proj.weight,58316,89140,147456,0.3954806857638889
0.5,blocks.2.attn.k_proj.weight,57465,89991,147456,0.38970947265625
0.5,blocks.2.attn.v_proj.weight,53582,93874,147456,0.3633761935763889
0.5,blocks.2.attn.o_proj.weight,120315,27141,147456,0.8159383138020834
0.5,blocks.2.mlp.gate_proj.weight,143814,249402,393216,0.3657379150390625
