target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.5,blocks.0.attn.q_proj.weight,56087,91369,147456,0.3803643120659722
0.5,blocks.0.attn.k_proj.weight,55474,91982,147456,0.3762071397569444
0.5,blocks.0.attn.v_proj.weight,52038,95418,147456,0.3529052734375
0.5,blocks.0.attn.o_proj.weight,124437,23019,147456,0.8438924153645834
0.5,blocks.0.mlp.gate_proj.weight,139304,253912,393216,0.3542683919270833
0.5,blocks.0.mlp.up_proj.weight,139053,254163,393216,0.35363006591796875
0.5,blocks.0.mlp.down_proj.weight,311915,81301,393216,0.7932408650716146
0.5,blocks.1.attn.q_proj.weight,55710,91746,147456,0.3778076171875
0.5,blocks.1.attn.k_proj.weight,55898,91558,147456,0.3790825737847222
0.5,blocks.1.attn.v_proj.weight,52270,95186,147456,0.3544786241319444
0.5,blocks.1.attn.o_proj.weight,125914,21542,147456,0.8539089626736112
0.5,blocks.1.mlp.gate_proj.weight,140020,253196,393216,0.3560892740885417
0.5,blocks.1.mlp.up_proj.weight,140382,252834,393216,0.3570098876953125
0.5,blocks.1.mlp.down_proj.weight,317003,76213,393216,0.8061803181966146
0.5,blocks.2.attn.q_proj.weight,56235,91221,147456,0.3813680013020833
0.5,blocks.2.attn.k_proj.weight,55623,91833,147456,0.3772176106770833
0.5,blocks.2.attn.v_proj.weight,52502,94954,147456,0.3560519748263889
0.5,blocks.2.attn.o_proj.weight,123788,23668,147456,0.8394911024305556
0.5,blocks.2.mlp.gate_proj.weight,139909,253307,393216,0.35580698649088544
0.5,blocks.2.mlp.up_proj.weight,140047,253169,393216,0.35615793863932294
0.5,blocks.2.mlp.down_proj.weight,318975,74241,393216,0.8111953735351562
0.5,blocks.3.attn.q_proj.weight,56188,91268,147456,0.3810492621527778
0.5,blocks.3.attn.k_proj.weight,55510,91946,147456,0.3764512803819444
0.5,blocks.3.attn.v_proj.weight,52603,94853,147456,0.3567369249131944
0.5,blocks.3.attn.o_proj.weight,123280,24176,147456,0.8360460069444444
0.5,blocks.3.mlp.gate_proj.weight,140241,252975,393216,0.35665130615234375
0.5,blocks.3.mlp.up_proj.weight,139995,253221,393216,0.35602569580078125
0.5,blocks.3.mlp.down_proj.weight,318784,74432,393216,0.8107096354166666
0.5,blocks.4.attn.q_proj.weight,55997,91459,147456,0.3797539605034722
0.5,blocks.4.attn.k_proj.weight,55574,91882,147456,0.3768853081597222
0.5,blocks.4.attn.v_proj.weight,52480,94976,147456,0.3559027777777778
0.5,blocks.4.attn.o_proj.weight,121675,25781,147456,0.8251614040798612
0.5,blocks.4.mlp.gate_proj.weight,140371,252845,393216,0.35698191324869794
0.5,blocks.4.mlp.up_proj.weight,139879,253337,393216,0.35573069254557294
0.5,blocks.4.mlp.down_proj.weight,317214,76002,393216,0.8067169189453125
0.5,blocks.5.attn.q_proj.weight,55708,91748,147456,0.3777940538194444
0.5,blocks.5.attn.k_proj.weight,55409,92047,147456,0.3757663302951389
0.5,blocks.5.attn.v_proj.weight,52219,95237,147456,0.3541327582465278
0.5,blocks.5.attn.o_proj.weight,123964,23492,147456,0.8406846788194444
0.5,blocks.5.mlp.gate_proj.weight,140177,253039,393216,0.35648854573567706
0.5,blocks.5.mlp.up_proj.weight,139930,253286,393216,0.3558603922526042
0.5,blocks.5.mlp.down_proj.weight,318634,74582,393216,0.8103281656901041
0.7,blocks.0.attn.q_proj.weight,85042,62414,147456,0.5767279730902778
0.7,blocks.0.attn.k_proj.weight,85985,61471,147456,0.5831231011284722
0.7,blocks.0.attn.v_proj.weight,87689,59767,147456,0.5946790907118056
0.7,blocks.0.attn.o_proj.weight,144556,2900,147456,0.9803331163194444
0.7,blocks.0.mlp.gate_proj.weight,226583,166633,393216,0.5762303670247396
0.7,blocks.0.mlp.up_proj.weight,226497,166719,393216,0.5760116577148438
0.7,blocks.0.mlp.down_proj.weight,375083,18133,393216,0.9538853963216146
0.7,blocks.1.attn.q_proj.weight,85365,62091,147456,0.57891845703125
0.7,blocks.1.attn.k_proj.weight,85476,61980,147456,0.5796712239583334
0.7,blocks.1.attn.v_proj.weight,88433,59023,147456,0.5997246636284722
0.7,blocks.1.attn.o_proj.weight,145013,2443,147456,0.9834323459201388
0.7,blocks.1.mlp.gate_proj.weight,228599,164617,393216,0.5813573201497396
0.7,blocks.1.mlp.up_proj.weight,229386,163830,393216,0.5833587646484375
0.7,blocks.1.mlp.down_proj.weight,378229,14987,393216,0.9618860880533854
0.7,blocks.2.attn.q_proj.weight,85335,62121,147456,0.5787150065104166
0.7,blocks.2.attn.k_proj.weight,85455,62001,147456,0.57952880859375
0.7,blocks.2.attn.v_proj.weight,88118,59338,147456,0.5975884331597222
0.7,blocks.2.attn.o_proj.weight,144210,3246,147456,0.9779866536458334
0.7,blocks.2.mlp.gate_proj.weight,229500,163716,393216,0.583648681640625
