target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.5,blocks.0.attn.q_proj.weight,55288,92168,147456,0.3749457465277778
0.5,blocks.0.attn.k_proj.weight,55186,92270,147456,0.3742540147569444
0.5,blocks.0.attn.v_proj.weight,51931,95525,147456,0.3521796332465278
0.5,blocks.0.attn.o_proj.weight,125411,22045,147456,0.8504977756076388
0.5,blocks.0.mlp.gate_proj.weight,139105,254111,393216,0.35376230875651044
0.5,blocks.0.mlp.up_proj.weight,138807,254409,393216,0.35300445556640625
0.5,blocks.0.mlp.down_proj.weight,313141,80075,393216,0.7963587443033854
0.5,blocks.1.attn.q_proj.weight,55264,92192,147456,0.3747829861111111
0.5,blocks.1.attn.k_proj.weight,55348,92108,147456,0.3753526475694444
0.5,blocks.1.attn.v_proj.weight,52206,95250,147456,0.3540445963541667
0.5,blocks.1.attn.o_proj.weight,126024,21432,147456,0.8546549479166666
0.5,blocks.1.mlp.gate_proj.weight,139686,253530,393216,0.3552398681640625
0.5,blocks.1.mlp.up_proj.weight,140033,253183,393216,0.35612233479817706
0.5,blocks.1.mlp.down_proj.weight,318351,74865,393216,0.8096084594726562
0.5,blocks.2.attn.q_proj.weight,55748,91708,147456,0.3780653211805556
0.5,blocks.2.attn.k_proj.weight,55203,92253,147456,0.3743693033854167
0.5,blocks.2.attn.v_proj.weight,52324,95132,147456,0.3548448350694444
0.5,blocks.2.attn.o_proj.weight,124204,23252,147456,0.8423122829861112
0.5,blocks.2.mlp.gate_proj.weight,139520,253696,393216,0.3548177083333333
0.5,blocks.2.mlp.up_proj.weight,139581,253635,393216,0.35497283935546875
0.5,blocks.2.mlp.down_proj.weight,320077,73139,393216,0.8139979044596354
0.5,blocks.3.attn.q_proj.weight,55625,91831,147456,0.3772311740451389
0.5,blocks.3.attn.k_proj.weight,54952,92504,147456,0.3726671006944444
0.5,blocks.3.attn.v_proj.weight,52426,95030,147456,0.3555365668402778
0.5,blocks.3.attn.o_proj.weight,123822,23634,147456,0.8397216796875
0.5,blocks.3.mlp.gate_proj.weight,139892,253324,393216,0.3557637532552083
0.5,blocks.3.mlp.up_proj.weight,139757,253459,393216,0.35542043050130206
0.5,blocks.3.mlp.down_proj.weight,320179,73037,393216,0.8142573038736979
0.5,blocks.4.attn.q_proj.weight,55400,92056,147456,0.3757052951388889
0.5,blocks.4.attn.k_proj.weight,55047,92409,147456,0.3733113606770833
0.5,blocks.4.attn.v_proj.weight,52415,95041,147456,0.3554619683159722
0.5,blocks.4.attn.o_proj.weight,122063,25393,147456,0.8277926974826388
0.5,blocks.4.mlp.gate_proj.weight,139980,253236,393216,0.355987548828125
0.5,blocks.4.mlp.up_proj.weight,139517,253699,393216,0.35481007893880206
0.5,blocks.4.mlp.down_proj.weight,319059,74157,393216,0.8114089965820312
0.5,blocks.5.attn.q_proj.weight,55439,92017,147456,0.3759697808159722
0.5,blocks.5.attn.k_proj.weight,55061,92395,147456,0.3734063042534722
0.5,blocks.5.attn.v_proj.weight,52068,95388,147456,0.3531087239583333
0.5,blocks.5.attn.o_proj.weight,123682,23774,147456,0.8387722439236112
0.5,blocks.5.mlp.gate_proj.weight,139912,253304,393216,0.3558146158854167
0.5,blocks.5.mlp.up_proj.weight,139587,253629,393216,0.35498809814453125
0.5,blocks.5.mlp.down_proj.weight,320095,73121,393216,0.8140436808268229
0.7,blocks.0.attn.q_proj.weight,85142,62314,147456,0.5774061414930556
0.7,blocks.0.attn.k_proj.weight,85919,61537,147456,0.5826755099826388
0.7,blocks.0.attn.v_proj.weight,87589,59867,147456,0.5940009223090278
0.7,blocks.0.attn.o_proj.weight,144947,2509,147456,0.9829847547743056
0.7,blocks.0.mlp.gate_proj.weight,226290,166926,393216,0.5754852294921875
0.7,blocks.0.mlp.up_proj.weight,226147,167069,393216,0.5751215616861979
0.7,blocks.0.mlp.down_proj.weight,375870,17346,393216,0.9558868408203125
0.7,blocks.1.attn.q_proj.weight,85432,62024,147456,0.5793728298611112
0.7,blocks.1.attn.k_proj.weight,85480,61976,147456,0.5796983506944444
0.7,blocks.1.attn.v_proj.weight,88135,59321,147456,0.5977037217881944
0.7,blocks.1.attn.o_proj.weight,145139,2317,147456,0.9842868381076388
0.7,blocks.1.mlp.gate_proj.weight,228174,165042,393216,0.5802764892578125
0.7,blocks.1.mlp.up_proj.weight,228997,164219,393216,0.5823694864908854
0.7,blocks.1.mlp.down_proj.weight,378828,14388,393216,0.963409423828125
0.7,blocks.2.attn.q_proj.weight,85318,62138,147456,0.5785997178819444
0.7,blocks.2.attn.k_proj.weight,85343,62113,147456,0.5787692599826388
0.7,blocks.2.attn.v_proj.weight,87816,59640,147456,0.5955403645833334
0.7,blocks.2.attn.o_proj.weight,144392,3064,147456,0.9792209201388888
0.7,blocks.2.mlp.gate_proj.weight,229277,163939,393216,0.5830815633138021
