target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.5,blocks.0.attn.q_proj.weight,63596,83860,147456,0.4312879774305556
0.5,blocks.0.attn.k_proj.weight,61659,85797,147456,0.41815185546875
0.5,blocks.0.attn.v_proj.weight,53342,94114,147456,0.3617485894097222
0.5,blocks.0.attn.o_proj.weight,115096,32360,147456,0.7805447048611112
0.5,blocks.0.mlp.gate_proj.weight,147146,246070,393216,0.3742116292317708
0.5,blocks.0.mlp.up_proj.weight,146774,246442,393216,0.3732655843098958
0.5,blocks.0.mlp.down_proj.weight,296791,96425,393216,0.7547785441080729
0.5,blocks.1.attn.q_proj.weight,61785,85671,147456,0.41900634765625
0.5,blocks.1.attn.k_proj.weight,61377,86079,147456,0.4162394205729167
0.5,blocks.1.attn.v_proj.weight,53879,93577,147456,0.3653903537326389
0.5,blocks.1.attn.o_proj.weight,118143,29313,147456,0.80120849609375
0.5,blocks.1.mlp.gate_proj.weight,147624,245592,393216,0.37542724609375
0.5,blocks.1.mlp.up_proj.weight,148185,245031,393216,0.37685394287109375
0.5,blocks.1.mlp.down_proj.weight,297384,95832,393216,0.75628662109375
0.5,blocks.2.attn.q_proj.weight,62423,85033,147456,0.4233330620659722
0.5,blocks.2.attn.k_proj.weight,61695,85761,147456,0.41839599609375
0.5,blocks.2.attn.v_proj.weight,54098,93358,147456,0.3668755425347222
0.5,blocks.2.attn.o_proj.weight,113415,34041,147456,0.7691446940104166
0.5,blocks.2.mlp.gate_proj.weight,147935,245281,393216,0.37621815999348956
0.5,blocks.2.mlp.up_proj.weight,146982,246234,393216,0.3737945556640625
0.5,blocks.2.mlp.down_proj.weight,297831,95385,393216,0.7574234008789062
0.5,blocks.3.attn.q_proj.weight,62301,85155,147456,0.4225056966145833
0.5,blocks.3.attn.k_proj.weight,61519,85937,147456,0.4172024197048611
0.5,blocks.3.attn.v_proj.weight,54666,92790,147456,0.3707275390625
0.5,blocks.3.attn.o_proj.weight,114556,32900,147456,0.7768825954861112
0.5,blocks.3.mlp.gate_proj.weight,148243,244973,393216,0.37700144449869794
0.5,blocks.3.mlp.up_proj.weight,147755,245461,393216,0.37576039632161456
0.5,blocks.3.mlp.down_proj.weight,296703,96513,393216,0.7545547485351562
0.5,blocks.4.attn.q_proj.weight,62203,85253,147456,0.4218410915798611
0.5,blocks.4.attn.k_proj.weight,61807,85649,147456,0.4191555447048611
0.5,blocks.4.attn.v_proj.weight,54366,93090,147456,0.3686930338541667
0.5,blocks.4.attn.o_proj.weight,113994,33462,147456,0.7730712890625
0.5,blocks.4.mlp.gate_proj.weight,148907,244309,393216,0.37869008382161456
0.5,blocks.4.mlp.up_proj.weight,147754,245462,393216,0.3757578531901042
0.5,blocks.4.mlp.down_proj.weight,293071,100145,393216,0.7453180948893229
0.5,blocks.5.attn.q_proj.weight,61052,86404,147456,0.4140353732638889
0.5,blocks.5.attn.k_proj.weight,60918,86538,147456,0.4131266276041667
0.5,blocks.5.attn.v_proj.weight,53956,93500,147456,0.3659125434027778
0.5,blocks.5.attn.o_proj.weight,117714,29742,147456,0.7982991536458334
0.5,blocks.5.mlp.gate_proj.weight,148854,244362,393216,0.3785552978515625
0.5,blocks.5.mlp.up_proj.weight,148238,244978,393216,0.3769887288411458
0.5,blocks.5.mlp.down_proj.weight,292679,100537,393216,0.7443211873372396
0.7,blocks.0.attn.q_proj.weight,83941,63515,147456,0.5692613389756944
0.7,blocks.0.attn.k_proj.weight,86937,60519,147456,0.5895792643229166
0.7,blocks.0.attn.v_proj.weight,91386,56070,147456,0.6197509765625
0.7,blocks.0.attn.o_proj.weight,139776,7680,147456,0.9479166666666666
0.7,blocks.0.mlp.gate_proj.weight,234186,159030,393216,0.5955657958984375
0.7,blocks.0.mlp.up_proj.weight,234752,158464,393216,0.5970052083333334
0.7,blocks.0.mlp.down_proj.weight,365501,27715,393216,0.9295171101888021
0.7,blocks.1.attn.q_proj.weight,86006,61450,147456,0.5832655164930556
0.7,blocks.1.attn.k_proj.weight,86643,60813,147456,0.58758544921875
0.7,blocks.1.attn.v_proj.weight,93018,54438,147456,0.6308186848958334
0.7,blocks.1.attn.o_proj.weight,141489,5967,147456,0.95953369140625
0.7,blocks.1.mlp.gate_proj.weight,234583,158633,393216,0.5965754191080729
0.7,blocks.1.mlp.up_proj.weight,236044,157172,393216,0.6002909342447916
0.7,blocks.1.mlp.down_proj.weight,365895,27321,393216,0.9305191040039062
0.7,blocks.2.attn.q_proj.weight,84802,62654,147456,0.5751003689236112
0.7,blocks.2.attn.k_proj.weight,85822,61634,147456,0.5820176866319444
0.7,blocks.2.attn.v_proj.weight,91788,55668,147456,0.6224772135416666
0.7,blocks.2.attn.o_proj.weight,138144,9312,147456,0.9368489583333334
0.7,blocks.2.mlp.gate_proj.weight,235670,157546,393216,0.5993398030598959
