target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.5,blocks.0.attn.q_proj.weight,56008,91448,147456,0.3798285590277778
0.5,blocks.0.attn.k_proj.weight,55679,91777,147456,0.3775973849826389
0.5,blocks.0.attn.v_proj.weight,51923,95533,147456,0.3521253797743056
0.5,blocks.0.attn.o_proj.weight,124290,23166,147456,0.8428955078125
0.5,blocks.0.mlp.gate_proj.weight,139548,253668,393216,0.354888916015625
0.5,blocks.0.mlp.up_proj.weight,139443,253773,393216,0.35462188720703125
0.5,blocks.0.mlp.down_proj.weight,312281,80935,393216,0.7941716512044271
0.5,blocks.1.attn.q_proj.weight,55436,92020,147456,0.3759494357638889
0.5,blocks.1.attn.k_proj.weight,55491,91965,147456,0.3763224283854167
0.5,blocks.1.attn.v_proj.weight,52218,95238,147456,0.3541259765625
0.5,blocks.1.attn.o_proj.weight,125728,21728,147456,0.8526475694444444
0.5,blocks.1.mlp.gate_proj.weight,140152,253064,393216,0.3564249674479167
0.5,blocks.1.mlp.up_proj.weight,140585,252631,393216,0.35752614339192706
0.5,blocks.1.mlp.down_proj.weight,317422,75794,393216,0.8072458902994791
0.5,blocks.2.attn.q_proj.weight,56158,91298,147456,0.3808458116319444
0.5,blocks.2.attn.k_proj.weight,55558,91898,147456,0.3767768012152778
0.5,blocks.2.attn.v_proj.weight,52372,95084,147456,0.3551703559027778
0.5,blocks.2.attn.o_proj.weight,123904,23552,147456,0.8402777777777778
0.5,blocks.2.mlp.gate_proj.weight,140117,253099,393216,0.35633595784505206
0.5,blocks.2.mlp.up_proj.weight,140193,253023,393216,0.35652923583984375
0.5,blocks.2.mlp.down_proj.weight,319080,74136,393216,0.81146240234375
0.5,blocks.3.attn.q_proj.weight,55977,91479,147456,0.3796183268229167
0.5,blocks.3.attn.k_proj.weight,55350,92106,147456,0.3753662109375
0.5,blocks.3.attn.v_proj.weight,52499,94957,147456,0.3560316297743056
0.5,blocks.3.attn.o_proj.weight,123389,24067,147456,0.8367852105034722
0.5,blocks.3.mlp.gate_proj.weight,140252,252964,393216,0.3566792805989583
0.5,blocks.3.mlp.up_proj.weight,140361,252855,393216,0.35695648193359375
0.5,blocks.3.mlp.down_proj.weight,319094,74122,393216,0.8114980061848959
0.5,blocks.4.attn.q_proj.weight,56161,91295,147456,0.3808661566840278
0.5,blocks.4.attn.k_proj.weight,55574,91882,147456,0.3768853081597222
0.5,blocks.4.attn.v_proj.weight,52333,95123,147456,0.3549058702256944
0.5,blocks.4.attn.o_proj.weight,121346,26110,147456,0.8229302300347222
0.5,blocks.4.mlp.gate_proj.weight,140291,252925,393216,0.35677846272786456
0.5,blocks.4.mlp.up_proj.weight,139837,253379,393216,0.35562388102213544
0.5,blocks.4.mlp.down_proj.weight,316989,76227,393216,0.8061447143554688
0.5,blocks.5.attn.q_proj.weight,55568,91888,147456,0.3768446180555556
0.5,blocks.5.attn.k_proj.weight,55222,92234,147456,0.3744981553819444
0.5,blocks.5.attn.v_proj.weight,52138,95318,147456,0.3535834418402778
0.5,blocks.5.attn.o_proj.weight,124036,23420,147456,0.8411729600694444
0.5,blocks.5.mlp.gate_proj.weight,140004,253212,393216,0.356048583984375
0.5,blocks.5.mlp.up_proj.weight,139978,253238,393216,0.3559824625651042
0.5,blocks.5.mlp.down_proj.weight,318431,74785,393216,0.8098119099934896
0.7,blocks.0.attn.q_proj.weight,85031,62425,147456,0.5766533745659722
0.7,blocks.0.attn.k_proj.weight,86024,61432,147456,0.5833875868055556
0.7,blocks.0.attn.v_proj.weight,87506,59950,147456,0.5934380425347222
0.7,blocks.0.attn.o_proj.weight,144503,2953,147456,0.9799736870659722
0.7,blocks.0.mlp.gate_proj.weight,226760,166456,393216,0.5766805013020834
0.7,blocks.0.mlp.up_proj.weight,226937,166279,393216,0.5771306355794271
0.7,blocks.0.mlp.down_proj.weight,375164,18052,393216,0.9540913899739584
0.7,blocks.1.attn.q_proj.weight,85372,62084,147456,0.5789659288194444
0.7,blocks.1.attn.k_proj.weight,85652,61804,147456,0.5808648003472222
0.7,blocks.1.attn.v_proj.weight,88319,59137,147456,0.5989515516493056
0.7,blocks.1.attn.o_proj.weight,144971,2485,147456,0.9831475151909722
0.7,blocks.1.mlp.gate_proj.weight,228866,164350,393216,0.5820363362630209
0.7,blocks.1.mlp.up_proj.weight,229609,163607,393216,0.5839258829752604
0.7,blocks.1.mlp.down_proj.weight,378143,15073,393216,0.9616673787434896
0.7,blocks.2.attn.q_proj.weight,85250,62206,147456,0.5781385633680556
0.7,blocks.2.attn.k_proj.weight,85531,61925,147456,0.5800442165798612
0.7,blocks.2.attn.v_proj.weight,87947,59509,147456,0.5964287651909722
0.7,blocks.2.attn.o_proj.weight,144219,3237,147456,0.9780476888020834
0.7,blocks.2.mlp.gate_proj.weight,229666,163550,393216,0.5840708414713541
