target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.5,blocks.0.attn.q_proj.weight,55981,91475,147456,0.3796454535590278
0.5,blocks.0.attn.k_proj.weight,55693,91763,147456,0.3776923285590278
0.5,blocks.0.attn.v_proj.weight,51931,95525,147456,0.3521796332465278
0.5,blocks.0.attn.o_proj.weight,124256,23200,147456,0.8426649305555556
0.5,blocks.0.mlp.gate_proj.weight,139517,253699,393216,0.35481007893880206
0.5,blocks.0.mlp.up_proj.weight,139469,253747,393216,0.35468800862630206
0.5,blocks.0.mlp.down_proj.weight,312247,80969,393216,0.7940851847330729
0.5,blocks.1.attn.q_proj.weight,55415,92041,147456,0.3758070203993056
0.5,blocks.1.attn.k_proj.weight,55525,91931,147456,0.3765530056423611
0.5,blocks.1.attn.v_proj.weight,52215,95241,147456,0.3541056315104167
0.5,blocks.1.attn.o_proj.weight,125738,21718,147456,0.8527153862847222
0.5,blocks.1.mlp.gate_proj.weight,140125,253091,393216,0.35635630289713544
0.5,blocks.1.mlp.up_proj.weight,140575,252641,393216,0.35750071207682294
0.5,blocks.1.mlp.down_proj.weight,317448,75768,393216,0.80731201171875
0.5,blocks.2.attn.q_proj.weight,56174,91282,147456,0.3809543185763889
0.5,blocks.2.attn.k_proj.weight,55546,91910,147456,0.3766954210069444
0.5,blocks.2.attn.v_proj.weight,52369,95087,147456,0.3551500108506944
0.5,blocks.2.attn.o_proj.weight,123916,23540,147456,0.8403591579861112
0.5,blocks.2.mlp.gate_proj.weight,140151,253065,393216,0.35642242431640625
0.5,blocks.2.mlp.up_proj.weight,140171,253045,393216,0.35647328694661456
0.5,blocks.2.mlp.down_proj.weight,319088,74128,393216,0.8114827473958334
0.5,blocks.3.attn.q_proj.weight,55954,91502,147456,0.3794623480902778
0.5,blocks.3.attn.k_proj.weight,55372,92084,147456,0.3755154079861111
0.5,blocks.3.attn.v_proj.weight,52529,94927,147456,0.3562350802951389
0.5,blocks.3.attn.o_proj.weight,123359,24097,147456,0.8365817599826388
0.5,blocks.3.mlp.gate_proj.weight,140214,253002,393216,0.3565826416015625
0.5,blocks.3.mlp.up_proj.weight,140379,252837,393216,0.35700225830078125
0.5,blocks.3.mlp.down_proj.weight,319085,74131,393216,0.8114751180013021
0.5,blocks.4.attn.q_proj.weight,56161,91295,147456,0.3808661566840278
0.5,blocks.4.attn.k_proj.weight,55565,91891,147456,0.3768242730034722
0.5,blocks.4.attn.v_proj.weight,52339,95117,147456,0.3549465603298611
0.5,blocks.4.attn.o_proj.weight,121353,26103,147456,0.8229777018229166
0.5,blocks.4.mlp.gate_proj.weight,140291,252925,393216,0.35677846272786456
0.5,blocks.4.mlp.up_proj.weight,139851,253365,393216,0.35565948486328125
0.5,blocks.4.mlp.down_proj.weight,317026,76190,393216,0.8062388102213541
0.5,blocks.5.attn.q_proj.weight,55547,91909,147456,0.3767022026909722
0.5,blocks.5.attn.k_proj.weight,55210,92246,147456,0.3744167751736111
0.5,blocks.5.attn.v_proj.weight,52133,95323,147456,0.3535495334201389
0.5,blocks.5.attn.o_proj.weight,124044,23412,147456,0.8412272135416666
0.5,blocks.5.mlp.gate_proj.weight,140004,253212,393216,0.356048583984375
0.5,blocks.5.mlp.up_proj.weight,139971,253245,393216,0.35596466064453125
0.5,blocks.5.mlp.down_proj.weight,318479,74737,393216,0.8099339803059896
0.7,blocks.0.attn.q_proj.weight,85053,62403,147456,0.5768025716145834
0.7,blocks.0.attn.k_proj.weight,86029,61427,147456,0.5834214952256944
0.7,blocks.0.attn.v_proj.weight,87503,59953,147456,0.5934176974826388
0.7,blocks.0.attn.o_proj.weight,144494,2962,147456,0.9799126519097222
0.7,blocks.0.mlp.gate_proj.weight,226768,166448,393216,0.5767008463541666
0.7,blocks.0.mlp.up_proj.weight,226859,166357,393216,0.5769322713216146
0.7,blocks.0.mlp.down_proj.weight,375146,18070,393216,0.9540456136067709
0.7,blocks.1.attn.q_proj.weight,85394,62062,147456,0.5791151258680556
0.7,blocks.1.attn.k_proj.weight,85632,61824,147456,0.5807291666666666
0.7,blocks.1.attn.v_proj.weight,88316,59140,147456,0.5989312065972222
0.7,blocks.1.attn.o_proj.weight,144971,2485,147456,0.9831475151909722
0.7,blocks.1.mlp.gate_proj.weight,228849,164367,393216,0.5819931030273438
0.7,blocks.1.mlp.up_proj.weight,229618,163598,393216,0.5839487711588541
0.7,blocks.1.mlp.down_proj.weight,378145,15071,393216,0.9616724650065104
0.7,blocks.2.attn.q_proj.weight,85272,62184,147456,0.5782877604166666
0.7,blocks.2.attn.k_proj.weight,85517,61939,147456,0.5799492730034722
0.7,blocks.2.attn.v_proj.weight,87951,59505,147456,0.5964558919270834
0.7,blocks.2.attn.o_proj.weight,144227,3229,147456,0.9781019422743056
0.7,blocks.2.mlp.gate_proj.weight,229673,163543,393216,0.5840886433919271
