target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.5,blocks.0.attn.q_proj.weight,55256,92200,147456,0.3747287326388889
0.5,blocks.0.attn.k_proj.weight,55282,92174,147456,0.3749050564236111
0.5,blocks.0.attn.v_proj.weight,51930,95526,147456,0.3521728515625
0.5,blocks.0.attn.o_proj.weight,125338,22118,147456,0.8500027126736112
0.5,blocks.0.mlp.gate_proj.weight,139560,253656,393216,0.35491943359375
0.5,blocks.0.mlp.up_proj.weight,139203,254013,393216,0.35401153564453125
0.5,blocks.0.mlp.down_proj.weight,313443,79773,393216,0.7971267700195312
0.5,blocks.1.attn.q_proj.weight,54904,92552,147456,0.3723415798611111
0.5,blocks.1.attn.k_proj.weight,55024,92432,147456,0.3731553819444444
0.5,blocks.1.attn.v_proj.weight,52076,95380,147456,0.3531629774305556
0.5,blocks.1.attn.o_proj.weight,126164,21292,147456,0.8556043836805556
0.5,blocks.1.mlp.gate_proj.weight,139822,253394,393216,0.3555857340494792
0.5,blocks.1.mlp.up_proj.weight,140376,252840,393216,0.35699462890625
0.5,blocks.1.mlp.down_proj.weight,318695,74521,393216,0.8104832967122396
0.5,blocks.2.attn.q_proj.weight,55629,91827,147456,0.37725830078125
0.5,blocks.2.attn.k_proj.weight,55088,92368,147456,0.3735894097222222
0.5,blocks.2.attn.v_proj.weight,52171,95285,147456,0.3538072374131944
0.5,blocks.2.attn.o_proj.weight,124001,23455,147456,0.8409356011284722
0.5,blocks.2.mlp.gate_proj.weight,139741,253475,393216,0.35537974039713544
0.5,blocks.2.mlp.up_proj.weight,139759,253457,393216,0.35542551676432294
0.5,blocks.2.mlp.down_proj.weight,320387,72829,393216,0.8147862752278646
0.5,blocks.3.attn.q_proj.weight,55523,91933,147456,0.3765394422743056
0.5,blocks.3.attn.k_proj.weight,54887,92569,147456,0.3722262912326389
0.5,blocks.3.attn.v_proj.weight,52309,95147,147456,0.3547431098090278
0.5,blocks.3.attn.o_proj.weight,123447,24009,147456,0.8371785481770834
0.5,blocks.3.mlp.gate_proj.weight,139849,253367,393216,0.35565439860026044
0.5,blocks.3.mlp.up_proj.weight,139795,253421,393216,0.35551706949869794
0.5,blocks.3.mlp.down_proj.weight,320257,72959,393216,0.8144556681315104
0.5,blocks.4.attn.q_proj.weight,55509,91947,147456,0.3764444986979167
0.5,blocks.4.attn.k_proj.weight,55150,92306,147456,0.3740098741319444
0.5,blocks.4.attn.v_proj.weight,52217,95239,147456,0.3541191948784722
0.5,blocks.4.attn.o_proj.weight,121971,25485,147456,0.8271687825520834
0.5,blocks.4.mlp.gate_proj.weight,139963,253253,393216,0.35594431559244794
0.5,blocks.4.mlp.up_proj.weight,139545,253671,393216,0.35488128662109375
0.5,blocks.4.mlp.down_proj.weight,318958,74258,393216,0.8111521402994791
0.5,blocks.5.attn.q_proj.weight,55010,92446,147456,0.3730604383680556
0.5,blocks.5.attn.k_proj.weight,54759,92697,147456,0.3713582356770833
0.5,blocks.5.attn.v_proj.weight,51871,95585,147456,0.3517727322048611
0.5,blocks.5.attn.o_proj.weight,124126,23330,147456,0.8417833116319444
0.5,blocks.5.mlp.gate_proj.weight,139745,253471,393216,0.35538991292317706
0.5,blocks.5.mlp.up_proj.weight,139448,253768,393216,0.3546346028645833
0.5,blocks.5.mlp.down_proj.weight,320228,72988,393216,0.8143819173177084
0.7,blocks.0.attn.q_proj.weight,85246,62210,147456,0.5781114366319444
0.7,blocks.0.attn.k_proj.weight,86082,61374,147456,0.5837809244791666
0.7,blocks.0.attn.v_proj.weight,87476,59980,147456,0.5932345920138888
0.7,blocks.0.attn.o_proj.weight,144920,2536,147456,0.9828016493055556
0.7,blocks.0.mlp.gate_proj.weight,226447,166769,393216,0.5758845011393229
0.7,blocks.0.mlp.up_proj.weight,226490,166726,393216,0.5759938557942709
0.7,blocks.0.mlp.down_proj.weight,375956,17260,393216,0.9561055501302084
0.7,blocks.1.attn.q_proj.weight,85292,62164,147456,0.5784233940972222
0.7,blocks.1.attn.k_proj.weight,85529,61927,147456,0.5800306532118056
0.7,blocks.1.attn.v_proj.weight,88032,59424,147456,0.5970052083333334
0.7,blocks.1.attn.o_proj.weight,145132,2324,147456,0.9842393663194444
0.7,blocks.1.mlp.gate_proj.weight,228577,164639,393216,0.5813013712565104
0.7,blocks.1.mlp.up_proj.weight,229291,163925,393216,0.5831171671549479
0.7,blocks.1.mlp.down_proj.weight,379019,14197,393216,0.9638951619466146
0.7,blocks.2.attn.q_proj.weight,85439,62017,147456,0.5794203016493056
0.7,blocks.2.attn.k_proj.weight,85480,61976,147456,0.5796983506944444
0.7,blocks.2.attn.v_proj.weight,87537,59919,147456,0.5936482747395834
0.7,blocks.2.attn.o_proj.weight,144265,3191,147456,0.9783596462673612
0.7,blocks.2.mlp.gate_proj.weight,229292,163924,393216,0.5831197102864584
