rank,phase,run_id,learning_rate,rewa_k,rewa_m,rewa_eps,rewa_weight_decay,best_val_loss,best_val_ppl,selected_next,selection_reason,theory_status
1,screen,screen/k5-m0-eps0-wd1e-4-lr0.003-seed0,0.003,5.0,0.0,0.0,0.0001,3.5648665905,35.3347390999,yes,top-4 3M validation loss,base-admissible; epsilon=0
2,screen,screen/k5-m2-eps0-wd1e-4-lr0.003-seed0,0.003,5.0,2.0,0.0,0.0001,3.56659157276,35.3957434987,yes,top-4 3M validation loss,base-admissible; epsilon=0
3,screen,screen/k3-m0-eps0-wd1e-4-lr0.003-seed0,0.003,3.0,0.0,0.0,0.0001,3.57384964228,35.6535828416,yes,top-4 3M validation loss,base-admissible; epsilon=0
4,screen,screen/k3-m1-eps0-wd1e-4-lr0.003-seed0,0.003,3.0,1.0,0.0,0.0001,3.58058791161,35.894637519,yes,top-4 3M validation loss,base-admissible; epsilon=0
5,screen,screen/k9-m2-eps0-wd1e-4-lr0.003-seed0,0.003,9.0,2.0,0.0,0.0001,3.60700075626,36.8553487097,no,,base-admissible; epsilon=0
6,screen,screen/k9-m4-eps0-wd1e-4-lr0.003-seed0,0.003,9.0,4.0,0.0,0.0001,3.61398171186,37.1135344056,no,,base-admissible; epsilon=0
7,screen,screen/k7-m2-eps0-wd1e-4-lr0.003-seed0,0.003,7.0,2.0,0.0,0.0001,3.65813271999,38.7888455702,no,,base-admissible; epsilon=0
8,screen,screen/k9-m4-eps0-wd1e-4-lr0.002-seed0,0.002,9.0,4.0,0.0,0.0001,3.66012048721,38.8660254483,no,,base-admissible; epsilon=0
9,screen,screen/k9-m2-eps0-wd1e-4-lr0.002-seed0,0.002,9.0,2.0,0.0,0.0001,3.66837413311,39.1881393382,no,,base-admissible; epsilon=0
10,screen,screen/k7-m2-eps0-wd1e-4-lr0.002-seed0,0.002,7.0,2.0,0.0,0.0001,3.67756128311,39.5498255413,no,,base-admissible; epsilon=0
11,screen,screen/k3-m0-eps0-wd1e-4-lr0.002-seed0,0.002,3.0,0.0,0.0,0.0001,3.70084137917,40.4813502,no,,base-admissible; epsilon=0
12,screen,screen/k3-m1-eps0-wd1e-4-lr0.002-seed0,0.002,3.0,1.0,0.0,0.0001,3.70212208033,40.533227925,no,,base-admissible; epsilon=0
13,screen,screen/k5-m0-eps0-wd1e-4-lr0.002-seed0,0.002,5.0,0.0,0.0,0.0001,3.72861704826,41.6215078075,no,,base-admissible; epsilon=0
14,screen,screen/k5-m2-eps0-wd1e-4-lr0.002-seed0,0.002,5.0,2.0,0.0,0.0001,3.7305680275,41.7027897688,no,,base-admissible; epsilon=0
15,screen,screen/k9-m2-eps0-wd1e-4-lr0.001-seed0,0.001,9.0,2.0,0.0,0.0001,3.99378362894,54.2598004163,no,,base-admissible; epsilon=0
16,screen,screen/k9-m4-eps0-wd1e-4-lr0.001-seed0,0.001,9.0,4.0,0.0,0.0001,3.99492406845,54.3217157352,no,,base-admissible; epsilon=0
17,screen,screen/k7-m2-eps0-wd1e-4-lr0.001-seed0,0.001,7.0,2.0,0.0,0.0001,4.02672777176,56.0771135824,no,,base-admissible; epsilon=0
18,screen,screen/k3-m0-eps0-wd1e-4-lr0.001-seed0,0.001,3.0,0.0,0.0,0.0001,4.03395558596,56.4838968462,no,,base-admissible; epsilon=0
19,screen,screen/k5-m0-eps0-wd1e-4-lr0.001-seed0,0.001,5.0,0.0,0.0,0.0001,4.04111343622,56.8896505519,no,,base-admissible; epsilon=0
20,screen,screen/k3-m1-eps0-wd1e-4-lr0.001-seed0,0.001,3.0,1.0,0.0,0.0001,4.04190502167,56.9347013998,no,,base-admissible; epsilon=0
21,screen,screen/k5-m2-eps0-wd1e-4-lr0.001-seed0,0.001,5.0,2.0,0.0,0.0001,4.05031446218,57.4155092134,no,,base-admissible; epsilon=0
