order,phase,run_id,run_name,status,selected_next,selection_reason,seed,learning_rate,rewa_k,rewa_m,rewa_eps,rewa_weight_decay,theory_status,train_tokens,expected_iters,completed_iters,best_val_loss,best_val_ppl,pruning_eval_iters,pruning_sparsities,checkpoint,metrics_jsonl,pruning_json,pruning_csv,layer_csv,run_config,train_log,git_commit,error,updated_at_utc
0,screen,screen/k3-m0-eps0-wd1e-4-lr0.002-seed0,k3-m0-eps0-wd1e-4-lr0.002-seed0,completed,no,,0,0.002,3.0,0.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,3.70084137917,40.4813502,0,,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr0.002-seed0/best.pt,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr0.002-seed0/metrics.jsonl,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr0.002-seed0/global-pruning.json,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr0.002-seed0/global-pruning.csv,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr0.002-seed0/layer-sparsity.csv,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr0.002-seed0/run_config.json,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr0.002-seed0/train.log,e2916f04e51aba39566d628ebbccc69eb2515267,,2026-09-22T16:41:57+00:00
0,screen,screen/k3-m0-eps0-wd1e-4-lr0.003-seed0,k3-m0-eps0-wd1e-4-lr0.003-seed0,completed,yes,top-4 3M validation loss,0,0.003,3.0,0.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,3.57384964228,35.6535828416,0,,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr0.003-seed0/best.pt,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr0.003-seed0/metrics.jsonl,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr0.003-seed0/global-pruning.json,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr0.003-seed0/global-pruning.csv,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr0.003-seed0/layer-sparsity.csv,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr0.003-seed0/run_config.json,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr0.003-seed0/train.log,e2916f04e51aba39566d628ebbccc69eb2515267,,2026-09-22T16:49:21+00:00
0,screen,screen/k3-m0-eps0-wd1e-4-lr3e-4-seed0,k3-m0-eps0-wd1e-4-lr3e-4-seed0,completed,no,,0,0.0003,3.0,0.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,4.96643574238,143.514452208,0,,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr3e-4-seed0/best.pt,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr3e-4-seed0/metrics.jsonl,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr3e-4-seed0/global-pruning.json,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr3e-4-seed0/global-pruning.csv,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr3e-4-seed0/layer-sparsity.csv,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr3e-4-seed0/run_config.json,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr3e-4-seed0/train.log,e2916f04e51aba39566d628ebbccc69eb2515267,,2026-09-22T17:57:48+00:00
1,screen,screen/k3-m0-eps0-wd1e-4-lr6e-4-seed0,k3-m0-eps0-wd1e-4-lr6e-4-seed0,completed,no,,0,0.0006,3.0,0.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,4.34519782066,77.1072893858,0,,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr6e-4-seed0/best.pt,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr6e-4-seed0/metrics.jsonl,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr6e-4-seed0/global-pruning.json,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr6e-4-seed0/global-pruning.csv,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr6e-4-seed0/layer-sparsity.csv,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr6e-4-seed0/run_config.json,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr6e-4-seed0/train.log,e2916f04e51aba39566d628ebbccc69eb2515267,,2026-09-22T17:57:48+00:00
1,screen,screen/k3-m1-eps0-wd1e-4-lr0.002-seed0,k3-m1-eps0-wd1e-4-lr0.002-seed0,completed,no,,0,0.002,3.0,1.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,3.70212208033,40.533227925,0,,outputs/stage1-rewa-tuning/screen/k3-m1-eps0-wd1e-4-lr0.002-seed0/best.pt,outputs/stage1-rewa-tuning/screen/k3-m1-eps0-wd1e-4-lr0.002-seed0/metrics.jsonl,artifacts/stage1-rewa-tuning/runs/screen/k3-m1-eps0-wd1e-4-lr0.002-seed0/global-pruning.json,artifacts/stage1-rewa-tuning/runs/screen/k3-m1-eps0-wd1e-4-lr0.002-seed0/global-pruning.csv,artifacts/stage1-rewa-tuning/runs/screen/k3-m1-eps0-wd1e-4-lr0.002-seed0/layer-sparsity.csv,outputs/stage1-rewa-tuning/screen/k3-m1-eps0-wd1e-4-lr0.002-seed0/run_config.json,outputs/stage1-rewa-tuning/screen/k3-m1-eps0-wd1e-4-lr0.002-seed0/train.log,e2916f04e51aba39566d628ebbccc69eb2515267,,2026-09-22T16:42:54+00:00
1,screen,screen/k3-m1-eps0-wd1e-4-lr0.003-seed0,k3-m1-eps0-wd1e-4-lr0.003-seed0,completed,yes,top-4 3M validation loss,0,0.003,3.0,1.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,3.58058791161,35.894637519,0,,outputs/stage1-rewa-tuning/screen/k3-m1-eps0-wd1e-4-lr0.003-seed0/best.pt,outputs/stage1-rewa-tuning/screen/k3-m1-eps0-wd1e-4-lr0.003-seed0/metrics.jsonl,artifacts/stage1-rewa-tuning/runs/screen/k3-m1-eps0-wd1e-4-lr0.003-seed0/global-pruning.json,artifacts/stage1-rewa-tuning/runs/screen/k3-m1-eps0-wd1e-4-lr0.003-seed0/global-pruning.csv,artifacts/stage1-rewa-tuning/runs/screen/k3-m1-eps0-wd1e-4-lr0.003-seed0/layer-sparsity.csv,outputs/stage1-rewa-tuning/screen/k3-m1-eps0-wd1e-4-lr0.003-seed0/run_config.json,outputs/stage1-rewa-tuning/screen/k3-m1-eps0-wd1e-4-lr0.003-seed0/train.log,e2916f04e51aba39566d628ebbccc69eb2515267,,2026-09-22T16:50:15+00:00
2,screen,screen/k3-m0-eps0-wd1e-4-lr0.001-seed0,k3-m0-eps0-wd1e-4-lr0.001-seed0,completed,no,,0,0.001,3.0,0.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,4.03395558596,56.4838968462,0,,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr0.001-seed0/best.pt,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr0.001-seed0/metrics.jsonl,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr0.001-seed0/global-pruning.json,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr0.001-seed0/global-pruning.csv,artifacts/stage1-rewa-tuning/runs/screen/k3-m0-eps0-wd1e-4-lr0.001-seed0/layer-sparsity.csv,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr0.001-seed0/run_config.json,outputs/stage1-rewa-tuning/screen/k3-m0-eps0-wd1e-4-lr0.001-seed0/train.log,e2916f04e51aba39566d628ebbccc69eb2515267,,2026-09-22T17:57:48+00:00
2,screen,screen/k5-m0-eps0-wd1e-4-lr0.002-seed0,k5-m0-eps0-wd1e-4-lr0.002-seed0,completed,no,,0,0.002,5.0,0.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,3.72861704826,41.6215078075,0,,outputs/stage1-rewa-tuning/screen/k5-m0-eps0-wd1e-4-lr0.002-seed0/best.pt,outputs/stage1-rewa-tuning/screen/k5-m0-eps0-wd1e-4-lr0.002-seed0/metrics.jsonl,artifacts/stage1-rewa-tuning/runs/screen/k5-m0-eps0-wd1e-4-lr0.002-seed0/global-pruning.json,artifacts/stage1-rewa-tuning/runs/screen/k5-m0-eps0-wd1e-4-lr0.002-seed0/global-pruning.csv,artifacts/stage1-rewa-tuning/runs/screen/k5-m0-eps0-wd1e-4-lr0.002-seed0/layer-sparsity.csv,outputs/stage1-rewa-tuning/screen/k5-m0-eps0-wd1e-4-lr0.002-seed0/run_config.json,outputs/stage1-rewa-tuning/screen/k5-m0-eps0-wd1e-4-lr0.002-seed0/train.log,e2916f04e51aba39566d628ebbccc69eb2515267,,2026-09-22T16:43:54+00:00
2,screen,screen/k5-m0-eps0-wd1e-4-lr0.003-seed0,k5-m0-eps0-wd1e-4-lr0.003-seed0,completed,yes,top-4 3M validation loss,0,0.003,5.0,0.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,3.5648665905,35.3347390999,0,,outputs/stage1-rewa-tuning/screen/k5-m0-eps0-wd1e-4-lr0.003-seed0/best.pt,outputs/stage1-rewa-tuning/screen/k5-m0-eps0-wd1e-4-lr0.003-seed0/metrics.jsonl,artifacts/stage1-rewa-tuning/runs/screen/k5-m0-eps0-wd1e-4-lr0.003-seed0/global-pruning.json,artifacts/stage1-rewa-tuning/runs/screen/k5-m0-eps0-wd1e-4-lr0.003-seed0/global-pruning.csv,artifacts/stage1-rewa-tuning/runs/screen/k5-m0-eps0-wd1e-4-lr0.003-seed0/layer-sparsity.csv,outputs/stage1-rewa-tuning/screen/k5-m0-eps0-wd1e-4-lr0.003-seed0/run_config.json,outputs/stage1-rewa-tuning/screen/k5-m0-eps0-wd1e-4-lr0.003-seed0/train.log,e2916f04e51aba39566d628ebbccc69eb2515267,,2026-09-22T16:51:13+00:00
3,screen,screen/k3-m1-eps0-wd1e-4-lr3e-4-seed0,k3-m1-eps0-wd1e-4-lr3e-4-seed0,completed,no,,0,0.0003,3.0,1.0,0.0,0.0001,base-admissible; epsilon=0,3000000,92,92,4.96679275036,143.565697159,0,,outputs/stage1-rewa-tuning/screen/k3-m1-eps0-wd1e-4-lr3e-4-seed0/best.pt,outputs/stage1-rewa-tuning/screen/k3-m1-eps0-wd1e-4-lr3e-4-seed0/metrics.jsonl,artifacts/stage1-rewa-tuning/runs/screen/k3-m1-eps0-wd1e-4-lr3e-4-seed0/global-pruning.json,artifacts/stage1-rewa-tuning/runs/screen/k3-m1-eps0-wd1e-4-lr3e-4-seed0/global-pruning.csv,artifacts/stage1-rewa-tuning/runs/screen/k3-m1-eps0-wd1e-4-lr3e-4-seed0/layer-sparsity.csv,outputs/stage1-rewa-tuning/screen/k3-m1-eps0-wd1e-4-lr3e-4-seed0/run_config.json,outputs/stage1-rewa-tuning/screen/k3-m1-eps0-wd1e-4-lr3e-4-seed0/train.log,e2916f04e51aba39566d628ebbccc69eb2515267,,2026-09-22T17:57:48+00:00
