method,method_label,target_sparsity,perplexity,validation_loss,selected_run_name,selected_configuration,seed,learning_rate,l1_alpha,rewa_k,rewa_m,rewa_weight_decay,rewa_eps,checkpoint_best_val_loss,selected_count,total_eligible,selection_sparsity,eligible_sparsity,whole_model_sparsity,attention_sparsity,mlp_sparsity
dense,Dense AdamW,0.0,10.41270393329307,2.343026592731476,dense-lr6e-4-seed0,lr=0.0006,0,0.0006,,,,,,2.33629219532,0,10616832,0.0,0.0,0.0,0.0,0.0
l1,AdamW + L1,0.0,10.406049587619501,2.342387328147888,l1-a1e-7-lr6e-4-seed0,"lr=0.0006, alpha=1e-07",0,0.0006,1e-07,,,,,2.3354790163,0,10616832,0.0,0.0,0.0,0.0,0.0
rewa,ReWA-AdamW,0.0,15.170172462876248,2.7193311619758607,rewa-k9-m2-wd1e-4-lr6e-4-seed0,"lr=0.0006, K=9, M=2, wd=0.0001",0,0.0006,,9.0,2.0,0.0001,0.0,2.70995772839,0,10616832,0.0,0.0,0.0,0.0,0.0
dense,Dense AdamW,0.3,10.827341459228775,2.3820745515823365,dense-lr6e-4-seed0,lr=0.0006,0,0.0006,,,,,,2.33629219532,3185050,10616832,0.3000000376760224,0.3000000376760224,0.23134468640467093,0.3038400720666956,0.29808002048068577
l1,AdamW + L1,0.3,10.612706747417013,2.36205203294754,l1-a1e-6-lr6e-4-seed0,"lr=0.0006, alpha=1e-06",0,0.0006,1e-06,,,,,2.3359267664,3185050,10616832,0.3000000376760224,0.3000000376760224,0.23134468640467093,0.34686674895109953,0.2765666820384838
rewa,ReWA-AdamW,0.3,17.26103921574315,2.8484518933296203,rewa-k9-m2-wd1e-4-lr6e-4-seed0,"lr=0.0006, K=9, M=2, wd=0.0001",0,0.0006,,9.0,2.0,0.0001,0.0,2.70995772839,3185050,10616832,0.3000000376760224,0.3000000376760224,0.23134468640467093,0.28387394657841436,0.3080630832248264
dense,Dense AdamW,0.5,14.788994268034646,2.693883273601532,dense-lr6e-4-seed0,lr=0.0006,0,0.0006,,,,,,2.33629219532,5308416,10616832,0.5,0.5,0.3855744289180822,0.49790700276692706,0.5010464986165365
l1,AdamW + L1,0.5,12.430155527454055,2.5201254177093504,l1-a1e-6-lr6e-4-seed0,"lr=0.0006, alpha=1e-06",0,0.0006,1e-06,,,,,2.3359267664,5308416,10616832,0.5,0.5,0.3855744289180822,0.5444409405743634,0.4777795297128183
rewa,ReWA-AdamW,0.5,29.14687180475663,3.372347593307495,rewa-k9-m2-wd1-lr6e-4-seed0,"lr=0.0006, K=9, M=2, wd=1",0,0.0006,,9.0,2.0,1.0,0.0,3.26112879753,5308416,10616832,0.5,0.5,0.3855744289180822,0.4935133192274306,0.5032433403862847
dense,Dense AdamW,0.7,229.4288941418363,5.435593152046204,dense-lr6e-4-seed0,lr=0.0006,0,0.0006,,,,,,2.33629219532,7431782,10616832,0.6999999623239777,0.6999999623239777,0.5398041714314934,0.6873776471173322,0.7063111199273003
l1,AdamW + L1,0.7,13.973123700231621,2.63713574886322,l1-a1e-5-lr6e-4-seed0,"lr=0.0006, alpha=1e-05",0,0.0006,1e-05,,,,,2.62718083382,7431782,10616832,0.6999999623239777,0.6999999623239777,0.5398041714314934,0.7627173529730903,0.6686412669994213
rewa,ReWA-AdamW,0.7,49749.11499657364,10.814747953414917,rewa-k9-m2-wd1-lr6e-4-seed0,"lr=0.0006, K=9, M=2, wd=1",0,0.0006,,9.0,2.0,1.0,0.0,3.26112879753,7431782,10616832,0.6999999623239777,0.6999999623239777,0.5398041714314934,0.6843380398220487,0.7078309235749422
dense,Dense AdamW,0.8,131020.72802474756,11.783110818862916,dense-lr6e-4-seed0,lr=0.0006,0,0.0006,,,,,,2.33629219532,8493466,10616832,0.8000000376760223,0.8000000376760223,0.6169191153227531,0.7856369018554688,0.8071816055862991
