order,run_name,method,status,seed,learning_rate,dense_lr_selected,l1_alpha,rewa_k,rewa_m,rewa_weight_decay,rewa_eps,best_val_loss,best_val_ppl,train_tokens,expected_iters,completed_iters,batch_size,gradient_accumulation_steps,seq_len,eval_iters,pruning_eval_iters,git_commit,checkpoint,metrics_jsonl,pruning_csv,layer_csv,pruning_json,run_config,train_log,superseded_from_status,status_detail,error,updated_at_utc
0,dense-lr3e-4-seed0,dense,completed,0,0.0003,no,,,,,,2.59935326576,13.4550333897,20000000,611,611,8,16,256,50,100,d4e147b4ddec120edc912a134dc81c83e9cb9e35,outputs/stage1-pilot/dense-lr3e-4-seed0/best.pt,outputs/stage1-pilot/dense-lr3e-4-seed0/metrics.jsonl,artifacts/stage1/runs/dense-lr3e-4-seed0/global-pruning.csv,artifacts/stage1/runs/dense-lr3e-4-seed0/layer-sparsity.csv,artifacts/stage1/runs/dense-lr3e-4-seed0/global-pruning.json,outputs/stage1-pilot/dense-lr3e-4-seed0/run_config.json,outputs/stage1-pilot/dense-lr3e-4-seed0/train.log,,,,2026-09-22T16:06:25+00:00
1,dense-lr6e-4-seed0,dense,completed,0,0.0006,yes,,,,,,2.33629219532,10.3428162368,20000000,611,611,8,16,256,50,100,d4e147b4ddec120edc912a134dc81c83e9cb9e35,outputs/stage1-pilot/dense-lr6e-4-seed0/best.pt,outputs/stage1-pilot/dense-lr6e-4-seed0/metrics.jsonl,artifacts/stage1/runs/dense-lr6e-4-seed0/global-pruning.csv,artifacts/stage1/runs/dense-lr6e-4-seed0/layer-sparsity.csv,artifacts/stage1/runs/dense-lr6e-4-seed0/global-pruning.json,outputs/stage1-pilot/dense-lr6e-4-seed0/run_config.json,outputs/stage1-pilot/dense-lr6e-4-seed0/train.log,,,,2026-09-22T16:06:25+00:00
2,l1-a1e-7-lr3e-4-seed0,l1,superseded,0,0.0003,,1e-07,,,,,,,20000000,611,0,8,16,256,50,100,2a412af3b4f2218191ee5b8f5e0b2ba68d0861b7,outputs/stage1-pilot/l1-a1e-7-lr3e-4-seed0/best.pt,outputs/stage1-pilot/l1-a1e-7-lr3e-4-seed0/metrics.jsonl,artifacts/stage1/runs/l1-a1e-7-lr3e-4-seed0/global-pruning.csv,artifacts/stage1/runs/l1-a1e-7-lr3e-4-seed0/layer-sparsity.csv,artifacts/stage1/runs/l1-a1e-7-lr3e-4-seed0/global-pruning.json,outputs/stage1-pilot/l1-a1e-7-lr3e-4-seed0/run_config.json,outputs/stage1-pilot/l1-a1e-7-lr3e-4-seed0/train.log,training,Superseded from status=training: run is not part of the current frozen L1/ReWA candidate grid.,,2026-09-22T16:06:25+00:00
2,l1-a1e-7-lr6e-4-seed0,l1,completed,0,0.0006,,1e-07,,,,,2.3354790163,10.3344090944,20000000,611,611,8,16,256,50,100,d4e147b4ddec120edc912a134dc81c83e9cb9e35,outputs/stage1-pilot/l1-a1e-7-lr6e-4-seed0/best.pt,outputs/stage1-pilot/l1-a1e-7-lr6e-4-seed0/metrics.jsonl,artifacts/stage1/runs/l1-a1e-7-lr6e-4-seed0/global-pruning.csv,artifacts/stage1/runs/l1-a1e-7-lr6e-4-seed0/layer-sparsity.csv,artifacts/stage1/runs/l1-a1e-7-lr6e-4-seed0/global-pruning.json,outputs/stage1-pilot/l1-a1e-7-lr6e-4-seed0/run_config.json,outputs/stage1-pilot/l1-a1e-7-lr6e-4-seed0/train.log,,,,2026-09-22T16:06:25+00:00
3,l1-a1e-6-lr6e-4-seed0,l1,completed,0,0.0006,,1e-06,,,,,2.3359267664,10.3390373631,20000000,611,611,8,16,256,50,100,d4e147b4ddec120edc912a134dc81c83e9cb9e35,outputs/stage1-pilot/l1-a1e-6-lr6e-4-seed0/best.pt,outputs/stage1-pilot/l1-a1e-6-lr6e-4-seed0/metrics.jsonl,artifacts/stage1/runs/l1-a1e-6-lr6e-4-seed0/global-pruning.csv,artifacts/stage1/runs/l1-a1e-6-lr6e-4-seed0/layer-sparsity.csv,artifacts/stage1/runs/l1-a1e-6-lr6e-4-seed0/global-pruning.json,outputs/stage1-pilot/l1-a1e-6-lr6e-4-seed0/run_config.json,outputs/stage1-pilot/l1-a1e-6-lr6e-4-seed0/train.log,,,,2026-09-22T16:06:25+00:00
4,l1-a1e-5-lr6e-4-seed0,l1,completed,0,0.0006,,1e-05,,,,,2.62718083382,13.8347125197,20000000,611,611,8,16,256,50,100,d4e147b4ddec120edc912a134dc81c83e9cb9e35,outputs/stage1-pilot/l1-a1e-5-lr6e-4-seed0/best.pt,outputs/stage1-pilot/l1-a1e-5-lr6e-4-seed0/metrics.jsonl,artifacts/stage1/runs/l1-a1e-5-lr6e-4-seed0/global-pruning.csv,artifacts/stage1/runs/l1-a1e-5-lr6e-4-seed0/layer-sparsity.csv,artifacts/stage1/runs/l1-a1e-5-lr6e-4-seed0/global-pruning.json,outputs/stage1-pilot/l1-a1e-5-lr6e-4-seed0/run_config.json,outputs/stage1-pilot/l1-a1e-5-lr6e-4-seed0/train.log,,,,2026-09-22T16:06:25+00:00
5,rewa-k9-m2-wd1e-4-lr6e-4-seed0,rewa,completed,0,0.0006,,,9.0,2.0,0.0001,0.0,2.70995772839,15.0286402166,20000000,611,611,8,16,256,50,100,d4e147b4ddec120edc912a134dc81c83e9cb9e35,outputs/stage1-pilot/rewa-k9-m2-wd1e-4-lr6e-4-seed0/best.pt,outputs/stage1-pilot/rewa-k9-m2-wd1e-4-lr6e-4-seed0/metrics.jsonl,artifacts/stage1/runs/rewa-k9-m2-wd1e-4-lr6e-4-seed0/global-pruning.csv,artifacts/stage1/runs/rewa-k9-m2-wd1e-4-lr6e-4-seed0/layer-sparsity.csv,artifacts/stage1/runs/rewa-k9-m2-wd1e-4-lr6e-4-seed0/global-pruning.json,outputs/stage1-pilot/rewa-k9-m2-wd1e-4-lr6e-4-seed0/run_config.json,outputs/stage1-pilot/rewa-k9-m2-wd1e-4-lr6e-4-seed0/train.log,,,,2026-09-22T16:06:25+00:00
6,rewa-k9-m2-wd0.001-lr6e-4-seed0,rewa,superseded,0,0.0006,,,9.0,2.0,0.001,0.0,,,20000000,611,0,8,16,256,50,100,3a435fc8e3adb9cb1ccf477dff97343cdcc7392a,outputs/stage1-pilot/rewa-k9-m2-wd0.001-lr6e-4-seed0/best.pt,outputs/stage1-pilot/rewa-k9-m2-wd0.001-lr6e-4-seed0/metrics.jsonl,artifacts/stage1/runs/rewa-k9-m2-wd0.001-lr6e-4-seed0/global-pruning.csv,artifacts/stage1/runs/rewa-k9-m2-wd0.001-lr6e-4-seed0/layer-sparsity.csv,artifacts/stage1/runs/rewa-k9-m2-wd0.001-lr6e-4-seed0/global-pruning.json,outputs/stage1-pilot/rewa-k9-m2-wd0.001-lr6e-4-seed0/run_config.json,outputs/stage1-pilot/rewa-k9-m2-wd0.001-lr6e-4-seed0/train.log,training,Superseded from status=training: run is not part of the current frozen L1/ReWA candidate grid.,,2026-09-22T15:46:38+00:00
6,rewa-k9-m2-wd0.1-lr6e-4-seed0,rewa,completed,0,0.0006,,,9.0,2.0,0.1,0.0,2.73578568935,15.4218554648,20000000,611,611,8,16,256,50,100,d4e147b4ddec120edc912a134dc81c83e9cb9e35,outputs/stage1-pilot/rewa-k9-m2-wd0.1-lr6e-4-seed0/best.pt,outputs/stage1-pilot/rewa-k9-m2-wd0.1-lr6e-4-seed0/metrics.jsonl,artifacts/stage1/runs/rewa-k9-m2-wd0.1-lr6e-4-seed0/global-pruning.csv,artifacts/stage1/runs/rewa-k9-m2-wd0.1-lr6e-4-seed0/layer-sparsity.csv,artifacts/stage1/runs/rewa-k9-m2-wd0.1-lr6e-4-seed0/global-pruning.json,outputs/stage1-pilot/rewa-k9-m2-wd0.1-lr6e-4-seed0/run_config.json,outputs/stage1-pilot/rewa-k9-m2-wd0.1-lr6e-4-seed0/train.log,,,,2026-09-22T16:06:25+00:00
7,rewa-k9-m2-wd1-lr6e-4-seed0,rewa,completed,0,0.0006,,,9.0,2.0,1.0,0.0,3.26112879753,26.0789583979,20000000,611,611,8,16,256,50,100,d4e147b4ddec120edc912a134dc81c83e9cb9e35,outputs/stage1-pilot/rewa-k9-m2-wd1-lr6e-4-seed0/best.pt,outputs/stage1-pilot/rewa-k9-m2-wd1-lr6e-4-seed0/metrics.jsonl,artifacts/stage1/runs/rewa-k9-m2-wd1-lr6e-4-seed0/global-pruning.csv,artifacts/stage1/runs/rewa-k9-m2-wd1-lr6e-4-seed0/layer-sparsity.csv,artifacts/stage1/runs/rewa-k9-m2-wd1-lr6e-4-seed0/global-pruning.json,outputs/stage1-pilot/rewa-k9-m2-wd1-lr6e-4-seed0/run_config.json,outputs/stage1-pilot/rewa-k9-m2-wd1-lr6e-4-seed0/train.log,,,,2026-09-22T16:06:25+00:00
