target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.3,blocks.0.attn.q_proj.weight,28106,119350,147456,0.1906060112847222
0.3,blocks.0.attn.k_proj.weight,28829,118627,147456,0.19550916883680555
0.3,blocks.0.attn.v_proj.weight,32223,115233,147456,0.21852620442708334
0.3,blocks.0.attn.o_proj.weight,99066,48390,147456,0.6718343098958334
0.3,blocks.0.mlp.gate_proj.weight,80118,313098,393216,0.2037506103515625
0.3,blocks.0.mlp.up_proj.weight,80245,312971,393216,0.2040735880533854
0.3,blocks.0.mlp.down_proj.weight,202389,190827,393216,0.5147018432617188
0.3,blocks.1.attn.q_proj.weight,28634,118822,147456,0.1941867404513889
0.3,blocks.1.attn.k_proj.weight,28707,118749,147456,0.19468180338541666
0.3,blocks.1.attn.v_proj.weight,32283,115173,147456,0.21893310546875
0.3,blocks.1.attn.o_proj.weight,96531,50925,147456,0.6546427408854166
0.3,blocks.1.mlp.gate_proj.weight,80386,312830,393216,0.20443216959635416
0.3,blocks.1.mlp.up_proj.weight,80172,313044,393216,0.203887939453125
0.3,blocks.1.mlp.down_proj.weight,204471,188745,393216,0.5199966430664062
0.3,blocks.2.attn.q_proj.weight,28399,119057,147456,0.1925930447048611
0.3,blocks.2.attn.k_proj.weight,28639,118817,147456,0.1942206488715278
0.3,blocks.2.attn.v_proj.weight,31417,116039,147456,0.21306016710069445
0.3,blocks.2.attn.o_proj.weight,87727,59729,147456,0.5949367947048612
0.3,blocks.2.mlp.gate_proj.weight,79708,313508,393216,0.20270792643229166
0.3,blocks.2.mlp.up_proj.weight,79814,313402,393216,0.20297749837239584
0.3,blocks.2.mlp.down_proj.weight,201883,191333,393216,0.5134150187174479
0.3,blocks.3.attn.q_proj.weight,28105,119351,147456,0.19059922960069445
0.3,blocks.3.attn.k_proj.weight,28624,118832,147456,0.1941189236111111
0.3,blocks.3.attn.v_proj.weight,31580,115876,147456,0.2141655815972222
0.3,blocks.3.attn.o_proj.weight,87275,60181,147456,0.5918714735243056
0.3,blocks.3.mlp.gate_proj.weight,79263,313953,393216,0.20157623291015625
0.3,blocks.3.mlp.up_proj.weight,79347,313869,393216,0.20178985595703125
0.3,blocks.3.mlp.down_proj.weight,199322,193894,393216,0.5069020589192709
0.3,blocks.4.attn.q_proj.weight,27853,119603,147456,0.18889024522569445
0.3,blocks.4.attn.k_proj.weight,28509,118947,147456,0.19333902994791666
0.3,blocks.4.attn.v_proj.weight,31390,116066,147456,0.21287706163194445
0.3,blocks.4.attn.o_proj.weight,82654,64802,147456,0.5605333116319444
0.3,blocks.4.mlp.gate_proj.weight,77987,315229,393216,0.1983311971028646
0.3,blocks.4.mlp.up_proj.weight,78367,314849,393216,0.1992975870768229
0.3,blocks.4.mlp.down_proj.weight,190526,202690,393216,0.4845326741536458
0.3,blocks.5.attn.q_proj.weight,27218,120238,147456,0.18458387586805555
0.3,blocks.5.attn.k_proj.weight,28000,119456,147456,0.1898871527777778
0.3,blocks.5.attn.v_proj.weight,30623,116833,147456,0.2076755099826389
0.3,blocks.5.attn.o_proj.weight,78256,69200,147456,0.5307074652777778
0.3,blocks.5.mlp.gate_proj.weight,76254,316962,393216,0.1939239501953125
0.3,blocks.5.mlp.up_proj.weight,76699,316517,393216,0.1950556437174479
0.3,blocks.5.mlp.down_proj.weight,177451,215765,393216,0.45128122965494794
0.5,blocks.0.attn.q_proj.weight,51149,96307,147456,0.3468763563368056
0.5,blocks.0.attn.k_proj.weight,52245,95211,147456,0.35430908203125
0.5,blocks.0.attn.v_proj.weight,58072,89384,147456,0.3938259548611111
0.5,blocks.0.attn.o_proj.weight,137277,10179,147456,0.93096923828125
0.5,blocks.0.mlp.gate_proj.weight,144949,248267,393216,0.36862436930338544
0.5,blocks.0.mlp.up_proj.weight,145062,248154,393216,0.3689117431640625
0.5,blocks.0.mlp.down_proj.weight,316863,76353,393216,0.8058242797851562
0.5,blocks.1.attn.q_proj.weight,51709,95747,147456,0.3506740993923611
0.5,blocks.1.attn.k_proj.weight,51830,95626,147456,0.3514946831597222
0.5,blocks.1.attn.v_proj.weight,58008,89448,147456,0.3933919270833333
0.5,blocks.1.attn.o_proj.weight,135601,11855,147456,0.9196031358506944
0.5,blocks.1.mlp.gate_proj.weight,145101,248115,393216,0.36901092529296875
0.5,blocks.1.mlp.up_proj.weight,145651,247565,393216,0.37040964762369794
0.5,blocks.1.mlp.down_proj.weight,318332,74884,393216,0.8095601399739584
0.5,blocks.2.attn.q_proj.weight,51141,96315,147456,0.3468221028645833
0.5,blocks.2.attn.k_proj.weight,51735,95721,147456,0.3508504231770833
0.5,blocks.2.attn.v_proj.weight,56914,90542,147456,0.3859727647569444
0.5,blocks.2.attn.o_proj.weight,129280,18176,147456,0.8767361111111112
0.5,blocks.2.mlp.gate_proj.weight,144190,249026,393216,0.3666941324869792
