target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.3,blocks.0.attn.q_proj.weight,34847,112609,147456,0.2363213433159722
0.3,blocks.0.attn.k_proj.weight,34198,113258,147456,0.23192003038194445
0.3,blocks.0.attn.v_proj.weight,29135,118321,147456,0.19758436414930555
0.3,blocks.0.attn.o_proj.weight,73034,74422,147456,0.4952935112847222
0.3,blocks.0.mlp.gate_proj.weight,76265,316951,393216,0.1939519246419271
0.3,blocks.0.mlp.up_proj.weight,76865,316351,393216,0.1954778035481771
0.3,blocks.0.mlp.down_proj.weight,140379,252837,393216,0.35700225830078125
0.3,blocks.1.attn.q_proj.weight,48907,98549,147456,0.3316718207465278
0.3,blocks.1.attn.k_proj.weight,51330,96126,147456,0.3481038411458333
0.3,blocks.1.attn.v_proj.weight,32611,114845,147456,0.2211574978298611
0.3,blocks.1.attn.o_proj.weight,69416,78040,147456,0.4707573784722222
0.3,blocks.1.mlp.gate_proj.weight,83656,309560,393216,0.21274820963541666
0.3,blocks.1.mlp.up_proj.weight,84831,308385,393216,0.21573638916015625
0.3,blocks.1.mlp.down_proj.weight,147293,245923,393216,0.37458546956380206
0.3,blocks.2.attn.q_proj.weight,54461,92995,147456,0.3693372938368056
0.3,blocks.2.attn.k_proj.weight,54974,92482,147456,0.3728162977430556
0.3,blocks.2.attn.v_proj.weight,32199,115257,147456,0.21836344401041666
0.3,blocks.2.attn.o_proj.weight,65442,82014,147456,0.4438069661458333
0.3,blocks.2.mlp.gate_proj.weight,90682,302534,393216,0.23061625162760416
0.3,blocks.2.mlp.up_proj.weight,92084,301132,393216,0.23418172200520834
0.3,blocks.2.mlp.down_proj.weight,151367,241849,393216,0.38494618733723956
0.3,blocks.3.attn.q_proj.weight,78985,68471,147456,0.5356513129340278
0.3,blocks.3.attn.k_proj.weight,79417,68039,147456,0.5385810004340278
0.3,blocks.3.attn.v_proj.weight,35277,112179,147456,0.23923746744791666
0.3,blocks.3.attn.o_proj.weight,73086,74370,147456,0.4956461588541667
0.3,blocks.3.mlp.gate_proj.weight,97501,295715,393216,0.2479578653971354
0.3,blocks.3.mlp.up_proj.weight,99260,293956,393216,0.2524312337239583
0.3,blocks.3.mlp.down_proj.weight,156684,236532,393216,0.398468017578125
0.3,blocks.4.attn.q_proj.weight,51934,95522,147456,0.3521999782986111
0.3,blocks.4.attn.k_proj.weight,52636,94820,147456,0.3569607204861111
0.3,blocks.4.attn.v_proj.weight,31627,115829,147456,0.2144843207465278
0.3,blocks.4.attn.o_proj.weight,60611,86845,147456,0.4110446506076389
0.3,blocks.4.mlp.gate_proj.weight,94965,298251,393216,0.24150848388671875
0.3,blocks.4.mlp.up_proj.weight,96962,296254,393216,0.24658711751302084
0.3,blocks.4.mlp.down_proj.weight,147432,245784,393216,0.37493896484375
0.3,blocks.5.attn.q_proj.weight,47389,100067,147456,0.3213772243923611
0.3,blocks.5.attn.k_proj.weight,48407,99049,147456,0.3282809787326389
0.3,blocks.5.attn.v_proj.weight,30434,117022,147456,0.2063937717013889
0.3,blocks.5.attn.o_proj.weight,57185,90271,147456,0.3878106011284722
0.3,blocks.5.mlp.gate_proj.weight,90421,302795,393216,0.2299524943033854
0.3,blocks.5.mlp.up_proj.weight,92785,300431,393216,0.2359644571940104
0.3,blocks.5.mlp.down_proj.weight,138076,255140,393216,0.3511454264322917
0.5,blocks.0.attn.q_proj.weight,58420,89036,147456,0.3961859809027778
0.5,blocks.0.attn.k_proj.weight,58147,89309,147456,0.3943345811631944
0.5,blocks.0.attn.v_proj.weight,54766,92690,147456,0.3714057074652778
0.5,blocks.0.attn.o_proj.weight,119607,27849,147456,0.8111368815104166
0.5,blocks.0.mlp.gate_proj.weight,139138,254078,393216,0.3538462320963542
0.5,blocks.0.mlp.up_proj.weight,139853,253363,393216,0.35566457112630206
0.5,blocks.0.mlp.down_proj.weight,248757,144459,393216,0.6326217651367188
0.5,blocks.1.attn.q_proj.weight,73940,73516,147456,0.5014377170138888
0.5,blocks.1.attn.k_proj.weight,76206,71250,147456,0.5168050130208334
0.5,blocks.1.attn.v_proj.weight,58125,89331,147456,0.3941853841145833
0.5,blocks.1.attn.o_proj.weight,114229,33227,147456,0.7746649848090278
0.5,blocks.1.mlp.gate_proj.weight,148086,245130,393216,0.3766021728515625
0.5,blocks.1.mlp.up_proj.weight,149700,243516,393216,0.380706787109375
0.5,blocks.1.mlp.down_proj.weight,255732,137484,393216,0.650360107421875
0.5,blocks.2.attn.q_proj.weight,78214,69242,147456,0.5304226345486112
0.5,blocks.2.attn.k_proj.weight,79049,68407,147456,0.5360853407118056
0.5,blocks.2.attn.v_proj.weight,57501,89955,147456,0.38995361328125
0.5,blocks.2.attn.o_proj.weight,109184,38272,147456,0.7404513888888888
0.5,blocks.2.mlp.gate_proj.weight,156305,236911,393216,0.39750417073567706
