target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.3,blocks.0.attn.q_proj.weight,27838,119618,147456,0.1887885199652778
0.3,blocks.0.attn.k_proj.weight,27668,119788,147456,0.18763563368055555
0.3,blocks.0.attn.v_proj.weight,26334,121122,147456,0.1785888671875
0.3,blocks.0.attn.o_proj.weight,84710,62746,147456,0.5744764539930556
0.3,blocks.0.mlp.gate_proj.weight,70927,322289,393216,0.1803766886393229
0.3,blocks.0.mlp.up_proj.weight,71090,322126,393216,0.18079121907552084
0.3,blocks.0.mlp.down_proj.weight,219471,173745,393216,0.5581436157226562
0.3,blocks.1.attn.q_proj.weight,28701,118755,147456,0.19464111328125
0.3,blocks.1.attn.k_proj.weight,28364,119092,147456,0.1923556857638889
0.3,blocks.1.attn.v_proj.weight,26385,121071,147456,0.17893473307291666
0.3,blocks.1.attn.o_proj.weight,84341,63115,147456,0.5719740125868056
0.3,blocks.1.mlp.gate_proj.weight,70696,322520,393216,0.17978922526041666
0.3,blocks.1.mlp.up_proj.weight,70794,322422,393216,0.1800384521484375
0.3,blocks.1.mlp.down_proj.weight,219901,173315,393216,0.5592371622721354
0.3,blocks.2.attn.q_proj.weight,29332,118124,147456,0.1989203559027778
0.3,blocks.2.attn.k_proj.weight,28568,118888,147456,0.19373914930555555
0.3,blocks.2.attn.v_proj.weight,26492,120964,147456,0.1796603732638889
0.3,blocks.2.attn.o_proj.weight,83424,64032,147456,0.5657552083333334
0.3,blocks.2.mlp.gate_proj.weight,70738,322478,393216,0.17989603678385416
0.3,blocks.2.mlp.up_proj.weight,70869,322347,393216,0.18022918701171875
0.3,blocks.2.mlp.down_proj.weight,220301,172915,393216,0.5602544148763021
0.3,blocks.3.attn.q_proj.weight,29590,117866,147456,0.20067003038194445
0.3,blocks.3.attn.k_proj.weight,28589,118867,147456,0.1938815646701389
0.3,blocks.3.attn.v_proj.weight,26723,120733,147456,0.18122694227430555
0.3,blocks.3.attn.o_proj.weight,83344,64112,147456,0.5652126736111112
0.3,blocks.3.mlp.gate_proj.weight,71309,321907,393216,0.1813481648763021
0.3,blocks.3.mlp.up_proj.weight,71130,322086,393216,0.1808929443359375
0.3,blocks.3.mlp.down_proj.weight,219839,173377,393216,0.5590794881184896
0.3,blocks.4.attn.q_proj.weight,29796,117660,147456,0.20206705729166666
0.3,blocks.4.attn.k_proj.weight,28298,119158,147456,0.19190809461805555
0.3,blocks.4.attn.v_proj.weight,26674,120782,147456,0.18089463975694445
0.3,blocks.4.attn.o_proj.weight,83373,64083,147456,0.5654093424479166
0.3,blocks.4.mlp.gate_proj.weight,71795,321421,393216,0.1825841267903646
0.3,blocks.4.mlp.up_proj.weight,71517,321699,393216,0.18187713623046875
0.3,blocks.4.mlp.down_proj.weight,220199,173017,393216,0.5599950154622396
0.3,blocks.5.attn.q_proj.weight,30594,116862,147456,0.20747884114583334
0.3,blocks.5.attn.k_proj.weight,29102,118354,147456,0.1973605685763889
0.3,blocks.5.attn.v_proj.weight,26185,121271,147456,0.1775783962673611
0.3,blocks.5.attn.o_proj.weight,83581,63875,147456,0.5668199327256944
0.3,blocks.5.mlp.gate_proj.weight,73038,320178,393216,0.1857452392578125
0.3,blocks.5.mlp.up_proj.weight,73130,320086,393216,0.18597920735677084
0.3,blocks.5.mlp.down_proj.weight,220300,172916,393216,0.5602518717447916
0.5,blocks.0.attn.q_proj.weight,51636,95820,147456,0.3501790364583333
0.5,blocks.0.attn.k_proj.weight,51631,95825,147456,0.3501451280381944
0.5,blocks.0.attn.v_proj.weight,50205,97251,147456,0.3404744466145833
0.5,blocks.0.attn.o_proj.weight,129724,17732,147456,0.8797471788194444
0.5,blocks.0.mlp.gate_proj.weight,133995,259221,393216,0.34076690673828125
0.5,blocks.0.mlp.up_proj.weight,133624,259592,393216,0.3398234049479167
0.5,blocks.0.mlp.down_proj.weight,332808,60408,393216,0.84637451171875
0.5,blocks.1.attn.q_proj.weight,52545,94911,147456,0.3563435872395833
0.5,blocks.1.attn.k_proj.weight,52420,95036,147456,0.3554958767361111
0.5,blocks.1.attn.v_proj.weight,50263,97193,147456,0.3408677842881944
0.5,blocks.1.attn.o_proj.weight,129168,18288,147456,0.8759765625
0.5,blocks.1.mlp.gate_proj.weight,133687,259529,393216,0.33998362223307294
0.5,blocks.1.mlp.up_proj.weight,134275,258941,393216,0.34147898356119794
0.5,blocks.1.mlp.down_proj.weight,333872,59344,393216,0.8490804036458334
0.5,blocks.2.attn.q_proj.weight,53383,94073,147456,0.3620266384548611
0.5,blocks.2.attn.k_proj.weight,52352,95104,147456,0.3550347222222222
0.5,blocks.2.attn.v_proj.weight,50163,97293,147456,0.3401896158854167
0.5,blocks.2.attn.o_proj.weight,127872,19584,147456,0.8671875
0.5,blocks.2.mlp.gate_proj.weight,133555,259661,393216,0.33964792887369794
