target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.3,blocks.0.attn.q_proj.weight,33699,113757,147456,0.22853597005208334
0.3,blocks.0.attn.k_proj.weight,32457,114999,147456,0.22011311848958334
0.3,blocks.0.attn.v_proj.weight,25258,122198,147456,0.1712917751736111
0.3,blocks.0.attn.o_proj.weight,77000,70456,147456,0.5221896701388888
0.3,blocks.0.mlp.gate_proj.weight,74999,318217,393216,0.1907323201497396
0.3,blocks.0.mlp.up_proj.weight,74088,319128,393216,0.18841552734375
0.3,blocks.0.mlp.down_proj.weight,200763,192453,393216,0.5105667114257812
0.3,blocks.1.attn.q_proj.weight,34178,113278,147456,0.2317843967013889
0.3,blocks.1.attn.k_proj.weight,33887,113569,147456,0.22981092664930555
0.3,blocks.1.attn.v_proj.weight,24759,122697,147456,0.16790771484375
0.3,blocks.1.attn.o_proj.weight,77026,70430,147456,0.5223659939236112
0.3,blocks.1.mlp.gate_proj.weight,74951,318265,393216,0.1906102498372396
0.3,blocks.1.mlp.up_proj.weight,74566,318650,393216,0.18963114420572916
0.3,blocks.1.mlp.down_proj.weight,201626,191590,393216,0.5127614339192709
0.3,blocks.2.attn.q_proj.weight,40726,106730,147456,0.2761908637152778
0.3,blocks.2.attn.k_proj.weight,35481,111975,147456,0.24062093098958334
0.3,blocks.2.attn.v_proj.weight,24732,122724,147456,0.167724609375
0.3,blocks.2.attn.o_proj.weight,76214,71242,147456,0.5168592664930556
0.3,blocks.2.mlp.gate_proj.weight,74699,318517,393216,0.1899693806966146
0.3,blocks.2.mlp.up_proj.weight,74814,318402,393216,0.1902618408203125
0.3,blocks.2.mlp.down_proj.weight,201967,191249,393216,0.5136286417643229
0.3,blocks.3.attn.q_proj.weight,45549,101907,147456,0.30889892578125
0.3,blocks.3.attn.k_proj.weight,36298,111158,147456,0.2461615668402778
0.3,blocks.3.attn.v_proj.weight,25094,122362,147456,0.17017957899305555
0.3,blocks.3.attn.o_proj.weight,76080,71376,147456,0.5159505208333334
0.3,blocks.3.mlp.gate_proj.weight,75660,317556,393216,0.192413330078125
0.3,blocks.3.mlp.up_proj.weight,75362,317854,393216,0.19165547688802084
0.3,blocks.3.mlp.down_proj.weight,200850,192366,393216,0.5107879638671875
0.3,blocks.4.attn.q_proj.weight,41928,105528,147456,0.2843424479166667
0.3,blocks.4.attn.k_proj.weight,35756,111700,147456,0.2424858940972222
0.3,blocks.4.attn.v_proj.weight,25298,122158,147456,0.1715630425347222
0.3,blocks.4.attn.o_proj.weight,76149,71307,147456,0.51641845703125
0.3,blocks.4.mlp.gate_proj.weight,77445,315771,393216,0.19695281982421875
0.3,blocks.4.mlp.up_proj.weight,75688,317528,393216,0.19248453776041666
0.3,blocks.4.mlp.down_proj.weight,201364,191852,393216,0.5120951334635416
0.3,blocks.5.attn.q_proj.weight,43855,103601,147456,0.2974107530381944
0.3,blocks.5.attn.k_proj.weight,37789,109667,147456,0.2562730577256944
0.3,blocks.5.attn.v_proj.weight,25112,122344,147456,0.17030164930555555
0.3,blocks.5.attn.o_proj.weight,76020,71436,147456,0.5155436197916666
0.3,blocks.5.mlp.gate_proj.weight,83514,309702,393216,0.2123870849609375
0.3,blocks.5.mlp.up_proj.weight,82005,311211,393216,0.20854949951171875
0.3,blocks.5.mlp.down_proj.weight,200344,192872,393216,0.5095011393229166
0.5,blocks.0.attn.q_proj.weight,57850,89606,147456,0.3923204210069444
0.5,blocks.0.attn.k_proj.weight,57407,90049,147456,0.3893161349826389
0.5,blocks.0.attn.v_proj.weight,50372,97084,147456,0.3416069878472222
0.5,blocks.0.attn.o_proj.weight,123553,23903,147456,0.8378974066840278
0.5,blocks.0.mlp.gate_proj.weight,141095,252121,393216,0.35882314046223956
0.5,blocks.0.mlp.up_proj.weight,139562,253654,393216,0.3549245198567708
0.5,blocks.0.mlp.down_proj.weight,309902,83314,393216,0.7881215413411459
0.5,blocks.1.attn.q_proj.weight,58380,89076,147456,0.3959147135416667
0.5,blocks.1.attn.k_proj.weight,58040,89416,147456,0.3936089409722222
0.5,blocks.1.attn.v_proj.weight,50133,97323,147456,0.3399861653645833
0.5,blocks.1.attn.o_proj.weight,123932,23524,147456,0.8404676649305556
0.5,blocks.1.mlp.gate_proj.weight,140382,252834,393216,0.3570098876953125
0.5,blocks.1.mlp.up_proj.weight,140930,252286,393216,0.3584035237630208
0.5,blocks.1.mlp.down_proj.weight,313136,80080,393216,0.7963460286458334
0.5,blocks.2.attn.q_proj.weight,62373,85083,147456,0.4229939778645833
0.5,blocks.2.attn.k_proj.weight,59012,88444,147456,0.4002007378472222
0.5,blocks.2.attn.v_proj.weight,49592,97864,147456,0.3363172743055556
0.5,blocks.2.attn.o_proj.weight,122424,25032,147456,0.8302408854166666
0.5,blocks.2.mlp.gate_proj.weight,140670,252546,393216,0.3577423095703125
