target_sparsity,name,zeros,nonzeros,numel,sparsity
0.0,blocks.0.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.0.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.0.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.0.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.1.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.1.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.1.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.1.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.2.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.2.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.2.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.2.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.3.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.3.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.3.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.3.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.4.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.4.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.4.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.4.mlp.down_proj.weight,0,393216,393216,0.0
0.0,blocks.5.attn.q_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.k_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.v_proj.weight,0,147456,147456,0.0
0.0,blocks.5.attn.o_proj.weight,0,147456,147456,0.0
0.0,blocks.5.mlp.gate_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.up_proj.weight,0,393216,393216,0.0
0.0,blocks.5.mlp.down_proj.weight,0,393216,393216,0.0
0.3,blocks.0.attn.q_proj.weight,27560,119896,147456,0.18690321180555555
0.3,blocks.0.attn.k_proj.weight,27551,119905,147456,0.18684217664930555
0.3,blocks.0.attn.v_proj.weight,26359,121097,147456,0.17875840928819445
0.3,blocks.0.attn.o_proj.weight,85106,62350,147456,0.5771620008680556
0.3,blocks.0.mlp.gate_proj.weight,71044,322172,393216,0.18067423502604166
0.3,blocks.0.mlp.up_proj.weight,71103,322113,393216,0.18082427978515625
0.3,blocks.0.mlp.down_proj.weight,220249,172967,393216,0.5601221720377604
0.3,blocks.1.attn.q_proj.weight,28303,119153,147456,0.19194200303819445
0.3,blocks.1.attn.k_proj.weight,28131,119325,147456,0.19077555338541666
0.3,blocks.1.attn.v_proj.weight,26380,121076,147456,0.1789008246527778
0.3,blocks.1.attn.o_proj.weight,84536,62920,147456,0.5732964409722222
0.3,blocks.1.mlp.gate_proj.weight,70735,322481,393216,0.1798884073893229
0.3,blocks.1.mlp.up_proj.weight,70897,322319,393216,0.1803003946940104
0.3,blocks.1.mlp.down_proj.weight,220542,172674,393216,0.5608673095703125
0.3,blocks.2.attn.q_proj.weight,28838,118618,147456,0.19557020399305555
0.3,blocks.2.attn.k_proj.weight,28344,119112,147456,0.19222005208333334
0.3,blocks.2.attn.v_proj.weight,26532,120924,147456,0.179931640625
0.3,blocks.2.attn.o_proj.weight,83637,63819,147456,0.56719970703125
0.3,blocks.2.mlp.gate_proj.weight,70619,322597,393216,0.1795934041341146
0.3,blocks.2.mlp.up_proj.weight,70871,322345,393216,0.1802342732747396
0.3,blocks.2.mlp.down_proj.weight,220959,172257,393216,0.5619277954101562
0.3,blocks.3.attn.q_proj.weight,29061,118395,147456,0.19708251953125
0.3,blocks.3.attn.k_proj.weight,28250,119206,147456,0.1915825737847222
0.3,blocks.3.attn.v_proj.weight,26752,120704,147456,0.1814236111111111
0.3,blocks.3.attn.o_proj.weight,83488,63968,147456,0.5661892361111112
0.3,blocks.3.mlp.gate_proj.weight,71408,321808,393216,0.18159993489583334
0.3,blocks.3.mlp.up_proj.weight,71115,322101,393216,0.18085479736328125
0.3,blocks.3.mlp.down_proj.weight,220335,172881,393216,0.5603408813476562
0.3,blocks.4.attn.q_proj.weight,29176,118280,147456,0.19786241319444445
0.3,blocks.4.attn.k_proj.weight,27991,119465,147456,0.1898261176215278
0.3,blocks.4.attn.v_proj.weight,26727,120729,147456,0.18125406901041666
0.3,blocks.4.attn.o_proj.weight,83541,63915,147456,0.5665486653645834
0.3,blocks.4.mlp.gate_proj.weight,71757,321459,393216,0.18248748779296875
0.3,blocks.4.mlp.up_proj.weight,71457,321759,393216,0.18172454833984375
0.3,blocks.4.mlp.down_proj.weight,220811,172405,393216,0.5615514119466146
0.3,blocks.5.attn.q_proj.weight,29893,117563,147456,0.2027248806423611
0.3,blocks.5.attn.k_proj.weight,28631,118825,147456,0.19416639539930555
0.3,blocks.5.attn.v_proj.weight,26222,121234,147456,0.1778293185763889
0.3,blocks.5.attn.o_proj.weight,83605,63851,147456,0.5669826931423612
0.3,blocks.5.mlp.gate_proj.weight,72776,320440,393216,0.18507893880208334
0.3,blocks.5.mlp.up_proj.weight,72959,320257,393216,0.1855443318684896
0.3,blocks.5.mlp.down_proj.weight,220799,172417,393216,0.5615208943684896
0.5,blocks.0.attn.q_proj.weight,51292,96164,147456,0.3478461371527778
0.5,blocks.0.attn.k_proj.weight,51274,96182,147456,0.3477240668402778
0.5,blocks.0.attn.v_proj.weight,50198,97258,147456,0.3404269748263889
0.5,blocks.0.attn.o_proj.weight,130174,17282,147456,0.8827989366319444
0.5,blocks.0.mlp.gate_proj.weight,134095,259121,393216,0.34102121988932294
0.5,blocks.0.mlp.up_proj.weight,133654,259562,393216,0.3398996988932292
0.5,blocks.0.mlp.down_proj.weight,333812,59404,393216,0.8489278157552084
0.5,blocks.1.attn.q_proj.weight,52164,95292,147456,0.353759765625
0.5,blocks.1.attn.k_proj.weight,52095,95361,147456,0.3532918294270833
0.5,blocks.1.attn.v_proj.weight,50255,97201,147456,0.3408135308159722
0.5,blocks.1.attn.o_proj.weight,129342,18114,147456,0.8771565755208334
0.5,blocks.1.mlp.gate_proj.weight,133696,259520,393216,0.3400065104166667
0.5,blocks.1.mlp.up_proj.weight,134271,258945,393216,0.34146881103515625
0.5,blocks.1.mlp.down_proj.weight,334823,58393,393216,0.8514989217122396
0.5,blocks.2.attn.q_proj.weight,52857,94599,147456,0.35845947265625
0.5,blocks.2.attn.k_proj.weight,52008,95448,147456,0.3527018229166667
0.5,blocks.2.attn.v_proj.weight,50146,97310,147456,0.3400743272569444
0.5,blocks.2.attn.o_proj.weight,127976,19480,147456,0.8678927951388888
0.5,blocks.2.mlp.gate_proj.weight,133540,259676,393216,0.3396097819010417
